timestamp_iso,t_rel_s,phase,cpu_percent,rss_mb,gpu_util_percent,gpu_mem_used_mb
2026-06-02T07:53:47.793264+00:00,0.001,fetching,0.0,299.9140625,,
2026-06-02T07:53:49.793620+00:00,2.001,fetching,85.0,299.91796875,,
2026-06-02T07:53:51.880461+00:00,4.088,fetching,88.7,299.91796875,,
2026-06-02T07:53:53.976725+00:00,6.185,fetching,92.1,309.6015625,,
2026-06-02T07:53:56.065771+00:00,8.274,fetching,92.7,321.3828125,,
2026-06-02T07:53:58.111196+00:00,10.319,fetching,92.2,333.16015625,,
2026-06-02T07:54:00.123393+00:00,12.331,inferring,57.8,415.62109375,,
2026-06-02T07:54:02.132539+00:00,14.34,inferring,33.3,415.62109375,,
2026-06-02T07:54:04.132823+00:00,16.341,inferring,33.5,415.62109375,,
2026-06-02T07:54:06.146028+00:00,18.354,inferring,58.1,415.62109375,,
2026-06-02T07:54:08.146331+00:00,20.354,inferring,33.5,415.62109375,,
2026-06-02T07:54:10.146603+00:00,22.354,inferring,34.5,415.62109375,,
2026-06-02T07:54:12.146865+00:00,24.355,inferring,34.0,415.62109375,,
2026-06-02T07:54:14.156774+00:00,26.365,inferring,33.8,415.62109375,,
2026-06-02T07:54:16.157070+00:00,28.365,inferring,33.5,415.62109375,,
2026-06-02T07:54:18.157458+00:00,30.365,inferring,34.0,416.21875,,
2026-06-02T07:54:20.157746+00:00,32.366,inferring,35.0,417.625,,
