batch_idx,latency_ms
0,151.49379195645452
1,72.06965796649456
2,70.3207339392975
3,71.80820498615503
4,71.33333897218108
5,73.79325397778302
6,73.0021030176431
7,71.82200497481972
8,66.4148930227384
9,73.16819299012423
10,72.45295506436378
11,73.44810396898538
12,74.36393294483423
13,71.55208894982934
14,70.32829604577273
15,70.99950592964888
16,73.19797796662897
17,72.402089019306
18,71.53463293798268
19,71.84335694182664
20,67.31119193136692
21,68.97901406046003
22,71.6664920328185
23,70.42717491276562
24,71.79542491212487
25,72.37668999005109
26,73.4444580739364
27,29.981588013470173
28,69.48972307145596
29,70.39317407179624
30,72.51724204979837
31,70.64699602779001
32,67.4285989953205
33,73.49109905771911
34,70.7974520046264
35,71.35868794284761
36,70.96853002440184
37,71.95361307822168
38,73.24836298357695
39,70.90725796297193
40,69.99335100408643
41,76.33612304925919
42,73.28753196634352
43,70.58262801729143
44,71.5745419729501
45,69.94228402618319
46,68.8173210946843
47,70.92987198848277
48,69.87794791348279
49,69.67088603414595
50,70.01633592881262
51,73.43550503719598
52,70.13054797425866
53,71.87972206156701
54,71.38093106914312
55,70.577711914666
56,71.32817106321454
57,67.20714503899217
58,70.28350804466754
59,69.23821393866092
60,27.717519900761545
61,71.63089804816991
62,69.61805594619364
63,70.79692103434354
64,71.77521497942507
65,71.34875294286758
66,71.45783700980246
67,70.74440200813115
68,71.29314902704209
69,74.54620697535574
70,69.99637605622411
71,71.96532096713781
72,69.50400408823043
73,68.71278304606676
74,70.53208304569125
75,74.01590899098665
76,70.68514404818416
77,28.563512954860926
78,32.33025502413511
79,29.934237943962216
80,29.486653045751154
81,27.955026947893202
82,31.474607065320015
83,28.14972004853189
84,27.642366010695696
85,30.050541972741485
86,28.454859973862767
87,29.23360199201852
88,30.563144013285637
89,31.02985699661076
90,29.90943007171154
91,24.732304038479924
92,27.805482037365437
93,28.421760071069002
94,26.017518946900964
95,29.23686697613448
96,29.20607093255967
97,28.53353798855096
98,28.70757004711777
99,31.901289941743016
100,30.137914000079036
101,31.361225992441177
102,28.382450924254954
103,28.887390973977745
104,27.06085005775094
105,27.85740001127124
106,27.289945050142705
107,28.99189793970436
108,27.946594054810703
109,32.11159608326852
110,29.593453975394368
111,29.846164979971945
112,27.784539968706667
113,27.34885399695486
114,27.89173205383122
115,27.53413305617869
116,27.983229025267065
117,27.176654897630215
118,26.81974705774337
119,27.487882995046675
120,27.31311006937176
121,26.786357047967613
122,27.356626000255346
