timestamp_iso,t_rel_s,phase,cpu_percent,rss_mb,gpu_util_percent,gpu_mem_used_mb
2026-06-02T02:09:36.581720+00:00,0.001,fetching,0.0,262.56640625,,
2026-06-02T02:09:38.582010+00:00,2.001,fetching,82.5,293.94140625,,
2026-06-02T02:09:40.651038+00:00,4.07,fetching,91.9,329.23828125,,
2026-06-02T02:09:42.706012+00:00,6.125,fetching,93.3,365.53515625,,
2026-06-02T02:09:44.774119+00:00,8.193,fetching,90.8,399.83203125,,
2026-06-02T02:09:46.840272+00:00,10.26,fetching,91.6,436.11328125,,
2026-06-02T02:09:48.842926+00:00,12.262,inferring,65.2,683.1328125,,
2026-06-02T02:09:50.843442+00:00,14.263,inferring,45.0,683.1328125,,
2026-06-02T02:09:52.843753+00:00,16.263,inferring,45.5,683.140625,,
2026-06-02T02:09:54.844116+00:00,18.263,inferring,46.0,683.140625,,
2026-06-02T02:09:56.844874+00:00,20.264,inferring,46.0,683.15234375,,
2026-06-02T02:09:58.845132+00:00,22.265,inferring,45.0,683.15234375,,
2026-06-02T02:10:00.847616+00:00,24.267,inferring,44.9,683.15234375,,
2026-06-02T02:10:02.850764+00:00,26.27,inferring,44.9,683.1796875,,
2026-06-02T02:10:04.851064+00:00,28.27,inferring,45.5,683.1796875,,
2026-06-02T02:10:06.851385+00:00,30.271,inferring,45.5,683.1796875,,
2026-06-02T02:10:08.854768+00:00,32.274,inferring,46.0,683.1796875,,
2026-06-02T02:10:10.855152+00:00,34.275,inferring,45.4,683.1796875,,
2026-06-02T02:10:12.855418+00:00,36.275,inferring,46.0,683.1796875,,
2026-06-02T02:10:14.857045+00:00,38.276,inferring,45.0,683.1796875,,
2026-06-02T02:10:16.857298+00:00,40.277,inferring,46.5,683.19140625,,
2026-06-02T02:10:18.859027+00:00,42.278,inferring,45.0,683.19140625,,
2026-06-02T02:10:20.860797+00:00,44.28,inferring,45.5,683.19140625,,
2026-06-02T02:10:22.861088+00:00,46.28,inferring,45.0,683.19140625,,
2026-06-02T02:10:24.861356+00:00,48.281,inferring,45.5,683.19140625,,
2026-06-02T02:10:26.863771+00:00,50.283,inferring,45.4,683.19140625,,
2026-06-02T02:10:28.864009+00:00,52.283,inferring,45.5,683.19140625,,
2026-06-02T02:10:30.865803+00:00,54.285,inferring,45.5,683.19140625,,
2026-06-02T02:10:32.866818+00:00,56.286,inferring,47.0,683.1953125,,
2026-06-02T02:10:34.867123+00:00,58.286,inferring,45.5,683.1953125,,
2026-06-02T02:10:36.868883+00:00,60.288,inferring,45.0,683.1953125,,
2026-06-02T02:10:38.871410+00:00,62.291,inferring,44.9,683.1953125,,
2026-06-02T02:10:40.871697+00:00,64.291,inferring,45.0,683.1953125,,
2026-06-02T02:10:42.871937+00:00,66.291,inferring,46.0,683.1953125,,
2026-06-02T02:10:44.872240+00:00,68.292,inferring,44.5,683.1953125,,
2026-06-02T02:10:46.872603+00:00,70.292,inferring,45.0,683.55078125,,
2026-06-02T02:10:48.873742+00:00,72.293,inferring,45.5,684.36328125,,
2026-06-02T02:10:50.873987+00:00,74.293,inferring,45.0,685.19140625,,
2026-06-02T02:10:52.874250+00:00,76.294,inferring,46.0,686.03515625,,
2026-06-02T02:10:54.874549+00:00,78.294,inferring,44.0,686.91015625,,
2026-06-02T02:10:56.874908+00:00,80.294,inferring,45.5,687.75390625,,
