timestamp_iso,t_rel_s,phase,cpu_percent,rss_mb,gpu_util_percent,gpu_mem_used_mb
2026-06-02T02:37:11.100814+00:00,0.001,fetching,0.0,287.390625,,
2026-06-02T02:37:13.152473+00:00,2.053,fetching,85.3,339.21875,,
2026-06-02T02:37:15.211168+00:00,4.111,fetching,90.7,376.5,,
2026-06-02T02:37:17.294367+00:00,6.195,fetching,92.0,412.37890625,,
2026-06-02T02:37:19.389970+00:00,8.29,fetching,93.5,446.69140625,,
2026-06-02T02:37:21.467913+00:00,10.368,fetching,90.5,481.98828125,,
2026-06-02T02:37:23.528354+00:00,12.429,inferring,75.7,729.28515625,,
2026-06-02T02:37:25.557726+00:00,14.458,inferring,70.3,729.28515625,,
2026-06-02T02:37:27.588315+00:00,16.489,inferring,73.4,729.28515625,,
2026-06-02T02:37:29.612134+00:00,18.512,inferring,71.2,729.28515625,,
2026-06-02T02:37:31.697540+00:00,20.598,inferring,74.6,729.28515625,,
2026-06-02T02:37:33.746550+00:00,22.647,inferring,72.2,729.28515625,,
2026-06-02T02:37:35.773293+00:00,24.674,inferring,72.3,729.28515625,,
2026-06-02T02:37:37.797128+00:00,26.697,inferring,71.6,729.28515625,,
2026-06-02T02:37:39.838955+00:00,28.739,inferring,72.5,729.28515625,,
2026-06-02T02:37:41.846648+00:00,30.747,inferring,72.7,729.28515625,,
2026-06-02T02:37:43.876970+00:00,32.777,inferring,72.4,729.28515625,,
2026-06-02T02:37:45.894780+00:00,34.795,inferring,72.3,729.28515625,,
2026-06-02T02:37:47.895050+00:00,36.795,inferring,73.4,730.375,,
2026-06-02T02:37:49.914752+00:00,38.815,inferring,72.8,732.265625,,
2026-06-02T02:37:51.952002+00:00,40.852,inferring,64.3,733.9921875,,
