actual\predicted,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5
actual_0,15401,0,0,0,0,19
actual_1,0,6700,6599,3,1276,842
actual_2,0,2,15399,0,19,0
actual_3,24,4,10,12021,30,3331
actual_4,0,0,2,0,15418,0
actual_5,0,473,0,106,5,14836
