timestamp_iso,t_rel_s,phase,cpu_percent,rss_mb,gpu_util_percent,gpu_mem_used_mb
2026-06-01T15:01:28.854753+00:00,0.001,fetching,0.0,280.609375,,
2026-06-01T15:01:30.855072+00:00,2.001,fetching,85.5,276.61328125,,
2026-06-01T15:01:32.882659+00:00,4.029,fetching,89.9,291.58984375,,
2026-06-01T15:01:34.938593+00:00,6.085,fetching,91.1,301.62890625,,
2026-06-01T15:01:36.967422+00:00,8.114,fetching,91.6,307.13671875,,
2026-06-01T15:01:39.020343+00:00,10.167,fetching,91.6,319.05078125,,
2026-06-01T15:01:41.020704+00:00,12.167,inferring,69.7,401.62890625,,
2026-06-01T15:01:43.035522+00:00,14.182,inferring,33.3,401.62890625,,
2026-06-01T15:01:45.055054+00:00,16.201,inferring,32.2,401.62890625,,
2026-06-01T15:01:47.069201+00:00,18.216,inferring,34.3,401.62890625,,
2026-06-01T15:01:49.069473+00:00,20.216,inferring,33.5,401.62890625,,
2026-06-01T15:01:51.069772+00:00,22.216,inferring,33.5,401.62890625,,
2026-06-01T15:01:53.076607+00:00,24.223,inferring,34.4,401.62890625,,
2026-06-01T15:01:55.076870+00:00,26.223,inferring,33.0,401.62890625,,
2026-06-01T15:01:57.084240+00:00,28.231,inferring,34.4,401.62890625,,
2026-06-01T15:01:59.084516+00:00,30.231,inferring,33.5,403.4921875,,
2026-06-01T15:02:01.084736+00:00,32.231,inferring,34.0,405.8984375,,
2026-06-01T15:02:03.084992+00:00,34.231,inferring,34.5,408.2890625,,
