timestamp_iso,t_rel_s,phase,cpu_percent,rss_mb,gpu_util_percent,gpu_mem_used_mb
2026-06-02T02:35:27.754809+00:00,0.001,fetching,0.0,282.90234375,,
2026-06-02T02:35:29.755118+00:00,2.001,fetching,86.5,316.26953125,,
2026-06-02T02:35:31.799932+00:00,4.046,fetching,88.1,350.58203125,,
2026-06-02T02:35:33.868423+00:00,6.115,fetching,91.2,385.87890625,,
2026-06-02T02:35:35.925764+00:00,8.172,fetching,93.9,420.19140625,,
2026-06-02T02:35:37.977674+00:00,10.224,fetching,90.3,455.48828125,,
2026-06-02T02:35:39.983921+00:00,12.23,inferring,77.4,702.546875,,
2026-06-02T02:35:42.011630+00:00,14.258,inferring,72.5,702.546875,,
2026-06-02T02:35:44.011974+00:00,16.258,inferring,72.9,702.546875,,
2026-06-02T02:35:46.058853+00:00,18.305,inferring,72.4,702.546875,,
2026-06-02T02:35:48.059154+00:00,20.305,inferring,70.9,702.546875,,
2026-06-02T02:35:50.071775+00:00,22.318,inferring,71.6,702.546875,,
2026-06-02T02:35:52.112010+00:00,24.358,inferring,71.1,702.546875,,
2026-06-02T02:35:54.112374+00:00,26.359,inferring,70.9,702.546875,,
2026-06-02T02:35:56.139271+00:00,28.386,inferring,72.1,702.546875,,
2026-06-02T02:35:58.139591+00:00,30.386,inferring,70.9,702.7734375,,
2026-06-02T02:36:00.196535+00:00,32.443,inferring,75.0,704.69921875,,
2026-06-02T02:36:02.247151+00:00,34.493,inferring,72.4,706.53515625,,
2026-06-02T02:36:04.247447+00:00,36.494,inferring,70.3,708.3671875,,
2026-06-02T02:36:06.247761+00:00,38.494,inferring,73.5,710.21484375,,
2026-06-02T02:36:08.265015+00:00,40.511,inferring,72.9,712.05078125,,
2026-06-02T02:36:10.280314+00:00,42.527,inferring,71.9,713.890625,,
