actual\predicted,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5
actual_0,15420,0,0,0,0,0
actual_1,0,2076,7546,0,5798,0
actual_2,0,44,15371,0,5,0
actual_3,1832,511,56,12997,24,0
actual_4,0,0,5,0,15415,0
actual_5,0,10818,0,3887,715,0
