actual\predicted,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5
actual_0,15439,0,1,0,0,0
actual_1,0,1203,12059,0,2178,0
actual_2,0,0,15433,0,7,0
actual_3,1731,2,49,12974,0,684
actual_4,0,0,0,0,15440,0
actual_5,0,34,0,8,29,15369
