timestamp_iso,t_rel_s,phase,cpu_percent,rss_mb,gpu_util_percent,gpu_mem_used_mb
2026-06-01T14:52:52.269754+00:00,0.001,fetching,0.0,252.76171875,,
2026-06-01T14:52:54.270149+00:00,2.002,fetching,82.5,264.40625,,
2026-06-01T14:52:56.329162+00:00,4.061,fetching,91.7,274.1875,,
2026-06-01T14:52:58.488690+00:00,6.22,fetching,94.5,290.5546875,,
2026-06-01T14:53:00.636442+00:00,8.368,fetching,92.3,302.3359375,,
2026-06-01T14:53:02.823616+00:00,10.555,fetching,92.5,313.1171875,,
2026-06-01T14:53:04.824023+00:00,12.555,inferring,44.1,395.57421875,,
2026-06-01T14:53:06.824405+00:00,14.556,inferring,26.5,395.57421875,,
2026-06-01T14:53:08.826763+00:00,16.558,inferring,25.5,395.57421875,,
2026-06-01T14:53:10.827141+00:00,18.558,inferring,28.0,395.57421875,,
2026-06-01T14:53:12.827495+00:00,20.559,inferring,27.5,395.57421875,,
2026-06-01T14:53:14.835881+00:00,22.567,inferring,25.4,395.57421875,,
2026-06-01T14:53:16.846108+00:00,24.577,inferring,26.9,395.57421875,,
2026-06-01T14:53:18.852209+00:00,26.584,inferring,26.4,395.57421875,,
2026-06-01T14:53:20.852537+00:00,28.584,inferring,26.0,395.57421875,,
2026-06-01T14:53:22.857211+00:00,30.589,inferring,27.9,395.57421875,,
2026-06-01T14:53:24.857585+00:00,32.589,inferring,26.5,395.57421875,,
2026-06-01T14:53:26.857864+00:00,34.589,inferring,26.0,395.57421875,,
2026-06-01T14:53:28.858705+00:00,36.59,inferring,27.5,395.015625,,
2026-06-01T14:53:30.863306+00:00,38.595,inferring,28.4,396.859375,,
2026-06-01T14:53:32.863602+00:00,40.595,inferring,25.5,398.703125,,
