timestamp_iso,t_rel_s,phase,cpu_percent,rss_mb,gpu_util_percent,gpu_mem_used_mb
2026-06-02T02:12:29.082289+00:00,0.001,fetching,0.0,262.60546875,,
2026-06-02T02:12:31.082572+00:00,2.001,fetching,89.5,295.01953125,,
2026-06-02T02:12:33.082925+00:00,4.002,fetching,88.5,330.3515625,,
2026-06-02T02:12:35.113329+00:00,6.032,fetching,87.7,366.73046875,,
2026-06-02T02:12:37.137740+00:00,8.057,fetching,91.8,402.96484375,,
2026-06-02T02:12:39.167522+00:00,10.086,fetching,92.2,437.28515625,,
2026-06-02T02:12:41.167780+00:00,12.087,inferring,82.1,684.359375,,
2026-06-02T02:12:43.169768+00:00,14.089,inferring,62.4,684.359375,,
2026-06-02T02:12:45.181357+00:00,16.1,inferring,62.2,684.36328125,,
2026-06-02T02:12:47.184431+00:00,18.103,inferring,61.4,684.73046875,,
2026-06-02T02:12:49.189909+00:00,20.109,inferring,61.8,684.73046875,,
2026-06-02T02:12:51.190141+00:00,22.109,inferring,62.5,684.73046875,,
2026-06-02T02:12:53.210110+00:00,24.129,inferring,63.2,684.73046875,,
2026-06-02T02:12:55.210480+00:00,26.129,inferring,62.2,684.7421875,,
2026-06-02T02:12:57.212038+00:00,28.131,inferring,62.4,684.7421875,,
2026-06-02T02:12:59.212377+00:00,30.131,inferring,61.5,684.7421875,,
2026-06-02T02:13:01.212668+00:00,32.131,inferring,62.5,684.7421875,,
2026-06-02T02:13:03.212915+00:00,34.132,inferring,64.0,684.7421875,,
2026-06-02T02:13:05.215448+00:00,36.134,inferring,63.4,684.74609375,,
2026-06-02T02:13:07.226042+00:00,38.145,inferring,63.5,684.74609375,,
2026-06-02T02:13:09.231397+00:00,40.15,inferring,62.0,684.765625,,
2026-06-02T02:13:11.240728+00:00,42.16,inferring,62.7,686.28125,,
2026-06-02T02:13:13.249961+00:00,44.169,inferring,63.7,685.765625,,
2026-06-02T02:13:15.262928+00:00,46.182,inferring,64.0,688.203125,,
2026-06-02T02:13:17.275780+00:00,48.195,inferring,63.6,689.625,,
2026-06-02T02:13:19.276053+00:00,50.195,inferring,63.1,691.078125,,
