actual\predicted,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5
actual_0,15449,0,0,0,0,0
actual_1,0,524,13102,0,1823,0
actual_2,0,0,15436,0,13,0
actual_3,1882,5860,83,6572,40,1012
actual_4,0,0,13781,0,1668,0
actual_5,0,820,6,0,405,14218
