timestamp_iso,t_rel_s,phase,cpu_percent,rss_mb,gpu_util_percent,gpu_mem_used_mb
2026-06-05T14:05:47.048830+00:00,0.001,fetching,188.7,157.73828125,,
2026-06-05T14:05:49.049132+00:00,2.001,fetching,83.5,202.171875,,
2026-06-05T14:05:51.226976+00:00,4.179,fetching,92.7,210.55859375,,
2026-06-05T14:05:53.319576+00:00,6.272,fetching,93.0,215.83203125,,
2026-06-05T14:05:55.370729+00:00,8.323,fetching,91.2,218.16015625,,
2026-06-05T14:05:57.549326+00:00,10.502,fetching,93.9,221.71875,,
2026-06-05T14:05:59.549608+00:00,12.502,inferring,43.2,223.734375,,
2026-06-05T14:06:01.549975+00:00,14.502,inferring,31.5,223.734375,,
