batch_idx,latency_ms
0,12.531741056591272
1,11.202896013855934
2,12.125431094318628
3,12.245871126651764
4,10.886201169341803
5,11.655344860628247
6,11.800873093307018
7,10.780501877889037
8,11.743847979232669
9,12.044619070366025
10,11.525731068104506
11,10.389355011284351
12,10.685869958251715
13,10.143546154722571
14,12.4069529119879
15,11.224518064409494
16,13.909247936680913
17,13.43227201141417
18,13.308526948094368
19,12.365381000563502
20,11.857258854433894
21,11.630387976765633
22,11.69489393942058
23,12.265572091564536
24,10.646430077031255
25,11.375125031918287
26,10.982514824718237
27,10.902824811637402
28,11.043587001040578
29,10.920983040705323
30,10.73545403778553
31,12.911960948258638
32,12.289226055145264
33,11.790537973865867
34,11.502234963700175
35,10.671397903934121
36,11.330466950312257
37,11.071107815951109
38,10.480571771040559
39,11.578690027818084
40,10.764176957309246
41,11.350697837769985
42,11.285820975899696
43,11.323187034577131
44,11.218870058655739
45,10.310957906767726
46,11.686010984703898
47,11.417307890951633
48,12.90994812734425
49,12.524540070444345
50,13.156789122149348
51,12.20260700210929
52,12.136396951973438
53,11.306721018627286
54,11.35542499832809
55,10.422484949231148
56,10.866119991987944
57,9.706700220704079
58,12.172562070190907
59,11.454974068328738
60,11.884819949045777
61,12.56072404794395
62,10.166609892621636
63,13.142176903784275
64,10.470998007804155
65,12.718430953100324
66,10.315304156392813
67,10.774052934721112
68,11.792941950261593
69,11.629557004198432
70,10.776486014947295
71,9.634932968765497
72,9.458438027650118
73,9.725118055939674
74,10.152037953957915
75,9.87109704874456
76,10.772238951176405
77,11.478508822619915
78,11.316235875710845
79,10.555363958701491
80,10.74912492185831
81,11.791220167651772
82,11.837627971544862
83,10.50697104074061
84,11.865329928696156
85,11.668906081467867
86,11.294704163447022
87,12.893383856862783
88,10.894502978771925
89,13.178630964830518
90,11.88351702876389
91,11.440192116424441
92,9.888533037155867
93,10.618729051202536
94,10.283275041729212
95,10.868254117667675
96,11.83637697249651
97,9.622293058782816
98,10.227191029116511
99,11.956878006458282
100,13.038411037996411
101,12.404158944264054
102,12.894795974716544
103,12.112131109461188
104,12.423789128661156
105,10.65189903602004
106,10.797095950692892
107,9.745698887854815
108,10.687722126021981
109,10.504477890208364
110,9.348812978714705
111,11.35948090814054
112,11.014943942427635
113,11.398710077628493
114,10.666780872270465
115,11.258790036663413
116,10.749174980446696
117,10.354883037507534
118,9.732619160786271
119,10.053721023723483
120,9.492498124018312
121,10.977748082950711
122,11.522314976900816
123,10.31798799522221
124,11.85878086835146
125,11.44521008245647
126,11.620702920481563
127,11.541273910552263
128,11.237108148634434
129,10.684297885745764
130,11.27555500715971
131,10.52703196182847
132,10.78731194138527
133,10.020390851423144
134,9.789315052330494
135,10.109845083206892
136,10.730787878856063
137,11.975334957242012
138,11.139500187709928
139,10.606400901451707
140,10.679060127586126
141,10.78739296644926
142,11.069555999711156
143,10.195624083280563
144,10.54063206538558
145,9.904577163979411
146,9.526879992336035
147,10.219259886071086
148,9.898608084768057
149,9.530094917863607
150,10.113721946254373
151,11.95446401834488
152,10.800773045048118
153,11.1747938208282
154,11.143747018650174
155,11.9879140984267
156,11.233791941776872
157,11.338028823956847
158,10.438137920573354
159,11.112048989161849
160,9.854000993072987
161,9.808372939005494
162,11.605160078033805
163,10.645688977092505
164,13.296188088133931
165,10.883808135986328
166,10.554542066529393
167,10.331277968361974
168,11.682786047458649
169,11.79838995449245
170,11.710037011653185
171,10.762115009129047
172,11.847283923998475
173,12.947825016453862
174,12.316006934270263
175,11.597537901252508
176,12.257007881999016
177,11.557288002222776
178,10.832210071384907
179,9.349053027108312
180,12.261455180123448
181,12.10291706956923
182,11.390638072043657
183,11.000853031873703
184,10.370445903390646
185,11.420511873438954
186,10.5830158572644
187,11.751950019970536
188,12.605811934918165
189,15.466877026483417
190,14.83273389749229
191,12.334223836660385
192,11.98998698964715
193,13.712313026189804
194,12.69903196953237
195,11.497108032926917
196,10.05258015356958
197,11.986641911789775
198,11.693773092702031
199,10.548403952270746
200,11.071670101955533
201,11.534112971276045
202,10.676396079361439
203,11.338660027831793
204,11.3591100089252
205,10.836005909368396
206,12.73664808832109
207,12.474865186959505
208,12.119961902499199
209,11.779991909861565
210,11.28680189140141
211,11.478720000013709
212,11.341864010319114
213,13.537590159103274
214,11.035545030608773
215,12.996478006243706
216,12.859852984547615
217,10.8305171597749
218,11.535685043781996
219,11.092551052570343
220,11.143276933580637
221,10.630537057295442
222,10.497156996279955
223,11.809707153588533
224,10.593400802463293
225,11.496115941554308
226,10.631568962708116
227,11.593562085181475
228,13.230550102889538
229,10.876426007598639
230,12.365842005237937
231,11.88289700075984
232,11.521113803610206
233,10.729935951530933
234,10.582974879071116
235,11.653152061626315
236,10.585890850052238
237,11.07462402433157
238,11.22155413031578
239,10.660941945388913
240,10.837528156116605
241,10.573581093922257
242,9.684577118605375
243,10.368894087150693
244,11.22016180306673
245,11.192891048267484
246,9.983416181057692
247,10.42251498438418
248,10.408042930066586
249,10.95559517852962
250,11.007972992956638
251,10.740922996774316
252,10.55228989571333
253,10.615424951538444
254,10.538447881117463
255,10.606751078739762
256,10.433841962367296
257,9.937276132404804
258,11.166730895638466
259,11.728544952347875
260,11.16977701894939
261,10.032519930973649
262,10.933902114629745
263,11.064859107136726
264,10.539700975641608
265,9.89055703394115
266,10.496706003323197
267,12.232622131705284
268,12.08463916555047
269,10.554932989180088
270,10.433291085064411
271,11.8039280641824
272,11.210117023438215
273,12.17478490434587
274,10.008262936025858
275,11.043176054954529
276,10.922414949163795
277,11.848925147205591
278,10.286080185323954
279,10.284506948664784
280,12.57090992294252
281,10.793240973725915
282,10.340922977775335
283,10.523876873776317
284,10.302624898031354
285,10.238107992336154
286,10.822996031492949
287,11.849866947159171
288,10.681274114176631
289,11.856888188049197
290,11.20553002692759
291,10.844889096915722
292,10.741163045167923
293,9.737125132232904
294,9.836955927312374
295,10.070627089589834
296,10.03446290269494
297,11.47125894203782
298,11.13150897435844
299,12.17428408563137
300,11.166190961375833
301,11.193862184882164
302,11.381804943084717
303,13.571301009505987
304,11.601473903283477
305,14.843851095065475
306,12.304168893024325
307,11.727543082088232
308,12.184920022264123
309,12.447093846276402
310,12.823849217966199
311,14.339284040033817
312,10.689456015825272
313,10.802845936268568
314,11.602506041526794
315,14.100214932113886
316,12.965871952474117
317,11.097318027168512
318,12.026582146063447
319,13.038300909101963
320,11.473692022264004
321,10.234583169221878
322,13.33038997836411
323,11.56632206402719
324,11.177468113601208
325,12.45455490425229
326,11.775746010243893
327,11.613893089815974
328,11.402416042983532
329,12.384048895910382
330,11.471539968624711
331,11.729246005415916
332,10.650136973708868
333,11.290026130154729
334,11.883466970175505
335,11.588554829359055
336,10.304737836122513
337,10.846360819414258
338,10.454532923176885
339,12.253453023731709
340,11.818359838798642
341,10.439991019666195
342,10.271898936480284
343,12.356788152828813
344,10.963407112285495
345,11.314514093101025
346,10.727813001722097
347,10.213000001385808
348,10.309604927897453
349,12.234744848683476
350,10.801523923873901
351,12.861767085269094
352,10.8849189709872
353,13.194315135478973
354,12.141785817220807
355,14.077271101996303
356,12.918430846184492
357,12.72678398527205
358,12.530789012089372
359,11.196848005056381
360,11.676536872982979
361,12.29530619457364
362,4.547185031697154
