actual\predicted,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5
actual_0,15449,0,0,0,0,0
actual_1,0,528,11979,0,2942,0
actual_2,0,0,15449,0,0,0
actual_3,0,6475,118,6959,237,1660
actual_4,0,0,12211,0,3238,0
actual_5,0,642,4,0,268,14535
