model,mean_latency_ms,p95_latency_ms,p99_latency_ms
XGBoost,11.302560591587884,13.131800317205487,14.191061193123458
Random Forest,40.1999098556655,51.544144516810775,52.56694904062897
Bi-LSTM,77.11836052170919,84.42280994495377,87.7318674849812
LSTM,68.7381910740331,72.9772845748812,74.00905778631568
TCN,61.262338288457684,73.73268530936912,75.69522389094344
Transformer,69.39997531226656,73.46324404934421,75.61228845501317
