model,cpu_percent_mean,cpu_percent_max,memory_mb_mean,memory_mb_max
XGBoost,89.7125,188.7,209.2060546875,223.734375
Random Forest,39.57857142857143,92.5,215.09654017857142,230.86328125
Bi-LSTM,73.03333333333333,93.5,632.9629836309524,733.9921875
LSTM,46.17894736842105,92.8,383.1714638157895,425.98046875
TCN,49.62222222222223,93.3,409.1106770833333,452.64453125
Transformer,45.32105263157896,93.3,410.77611019736844,453.57421875
