dlMcs,dlBler,ulBytes,ulMcs,ulBler,ri,phr,pcmax,rsrq,sinr,rsrp,rssi,cqi,pucchSnr,puschSnr,ue_id,timestamp,cellid,in_sync,idx
0.777777778,0.061863221,0.913587917,0.7,0.077757,0,0.65,0.962962963,1.0,1.0,0.878787879,0.284848485,1.0,0.441860465,0.465116279,0.058823529,0.00057462,0,0,0
0.740740741,0.229276301,0.914225342,0.8,0.063452,0,0.65,0.962962963,1.0,1.0,0.878787879,0.266666667,1.0,0.465116279,0.476744186,0.058823529,0.000574838,0,0,1
0.62962963,0.07994383,0.914912821,0.8,0.051254,0,0.65,0.962962963,1.0,1.0,0.878787879,0.260606061,1.0,0.465116279,0.488372093,0.058823529,0.000575057,0,0,2
0.814814815,0.030971516,0.915537384,0.75,0.122783,0,0.625,0.962962963,1.0,1.0,0.878787879,0.266666667,1.0,0.441860465,0.488372093,0.058823529,0.000575275,0,0,3
0.666666667,0.12504483,0.91618692,0.8,0.047666,0,0.625,0.962962963,1.0,1.0,0.848484848,0.272727273,1.0,0.395348837,0.476744186,0.058823529,0.000575494,0,0,4
0.703703704,0.048444959,0.916838752,0.8,0.076462,0,0.65,0.962962963,1.0,1.0,0.878787879,0.306060606,1.0,0.395348837,0.453488372,0.058823529,0.000575712,0,0,5
0.814814815,0.1633973,0.917277121,0.4,0.204461,0,0.675,0.981481481,1.0,1.0,0.878787879,0.324242424,1.0,0.441860465,0.441860465,0.058823529,0.000575931,0,0,6
0.814814815,0.056973567,0.917566234,0.3,0.071291,0,0.675,0.981481481,1.0,1.0,0.878787879,0.324242424,1.0,0.441860465,0.441860465,0.058823529,0.000576149,0,0,7
0.740740741,0.148010042,0.917935999,0.65,0.028754,0,0.65,0.962962963,1.0,1.0,0.878787879,0.333333333,1.0,0.488372093,0.430232558,0.058823529,0.000576368,0,0,8
0.703703704,0.057342311,0.918328241,0.35,0.138359,0,0.675,0.981481481,1.0,1.0,0.878787879,0.333333333,1.0,0.441860465,0.441860465,0.058823529,0.000576587,0,0,9
0.777777778,0.169259834,0.91865,0.4,0.048243,0,0.675,0.981481481,1.0,1.0,0.878787879,0.333333333,1.0,0.395348837,0.441860465,0.058823529,0.000576805,0,0,10
0.740740741,0.065574913,0.919102382,0.6,0.114756,0,0.65,0.962962963,1.0,1.0,0.878787879,0.333333333,1.0,0.441860465,0.430232558,0.058823529,0.000577024,0,0,11
0.777777778,0.166219964,0.919598197,0.6,0.068274,0,0.65,0.962962963,1.0,1.0,0.878787879,0.324242424,1.0,0.372093023,0.441860465,0.058823529,0.000577242,0,0,12
0.777777778,0.057957559,0.920129412,0.65,0.153576,0,0.65,0.962962963,1.0,0.970588235,0.878787879,0.324242424,1.0,0.418604651,0.441860465,0.058823529,0.000577461,0,0,13
0.851851852,0.074728872,0.920669685,0.65,0.096927,0,0.65,0.962962963,1.0,1.0,0.878787879,0.324242424,1.0,0.395348837,0.441860465,0.058823529,0.000577679,0,0,14
0.851851852,0.085710389,0.921214962,0.65,0.052802,0,0.675,0.962962963,1.0,0.955882353,0.909090909,0.342424242,1.0,0.441860465,0.418604651,0.058823529,0.000577898,0,0,15
0.851851852,0.116161621,0.921730033,0.65,0.146138,0,0.675,0.962962963,1.0,0.955882353,0.909090909,0.354545455,1.0,0.441860465,0.418604651,0.058823529,0.000578116,0,0,16
0.777777778,0.119525784,0.922228501,0.6,0.115068,0,0.65,0.962962963,1.0,0.985294118,0.878787879,0.342424242,1.0,0.395348837,0.430232558,0.058823529,0.000578335,0,0,17
0.851851852,0.041676222,0.922724547,0.6,0.064629,0,0.65,0.962962963,1.0,0.970588235,0.878787879,0.342424242,1.0,0.465116279,0.441860465,0.058823529,0.000578553,0,0,18
0.851851852,0.124035581,0.923219434,0.6,0.056222,0,0.65,0.962962963,1.0,0.970588235,0.878787879,0.342424242,1.0,0.395348837,0.430232558,0.058823529,0.000578772,0,0,19
0.851851852,0.098406316,0.923736013,0.65,0.105554,0,0.65,0.962962963,1.0,0.941176471,0.878787879,0.324242424,1.0,0.348837209,0.441860465,0.058823529,0.00057899,0,0,20
0.814814815,0.136861832,0.924233008,0.55,0.128166,0,0.65,0.962962963,1.0,0.985294118,0.878787879,0.333333333,1.0,0.511627907,0.441860465,0.058823529,0.000579209,0,0,21
0.814814815,0.056532083,0.924694791,0.6,0.052797,0,0.65,0.962962963,1.0,0.955882353,0.878787879,0.342424242,1.0,0.418604651,0.430232558,0.058823529,0.000579428,0,0,22
0.666666667,0.159758346,0.925198382,0.65,0.137975,0,0.65,0.962962963,1.0,0.955882353,0.878787879,0.342424242,1.0,0.511627907,0.441860465,0.058823529,0.000579646,0,0,23
0.666666667,0.061893529,0.92565989,0.55,0.068082,0,0.65,0.962962963,1.0,1.0,0.878787879,0.324242424,1.0,0.418604651,0.441860465,0.058823529,0.000579865,0,0,24
0.814814815,0.168149559,0.926127809,0.6,0.120285,0,0.65,0.962962963,1.0,1.0,0.878787879,0.342424242,1.0,0.441860465,0.430232558,0.058823529,0.000580083,0,0,25
0.814814815,0.065532482,0.926608322,0.6,0.134499,0,0.65,0.962962963,1.0,1.0,0.878787879,0.342424242,1.0,0.465116279,0.430232558,0.058823529,0.000580302,0,0,26
0.888888889,0.08356864,0.927082964,0.55,0.14003,0,0.65,0.962962963,1.0,1.0,0.878787879,0.324242424,1.0,0.418604651,0.453488372,0.058823529,0.00058052,0,0,27
0.814814815,0.068278367,0.92753884,0.55,0.05156,0,0.65,0.962962963,1.0,1.0,0.878787879,0.342424242,1.0,0.604651163,0.430232558,0.058823529,0.000580739,0,0,28
0.740740741,0.167537342,0.92801691,0.6,0.088104,0,0.65,0.962962963,1.0,1.0,0.878787879,0.333333333,1.0,0.418604651,0.441860465,0.058823529,0.000580957,0,0,29
0.740740741,0.058416217,0.928510406,0.6,0.065818,0,0.65,0.962962963,1.0,1.0,0.878787879,0.324242424,1.0,0.418604651,0.441860465,0.058823529,0.000581176,0,0,30
0.740740741,0.152989609,0.929001694,0.6,0.07042,0,0.65,0.962962963,1.0,1.0,0.878787879,0.324242424,1.0,0.395348837,0.441860465,0.058823529,0.000581394,0,0,31
0.740740741,0.053344716,0.929492408,0.6,0.071501,0,0.65,0.962962963,1.0,1.0,0.878787879,0.324242424,1.0,0.395348837,0.441860465,0.058823529,0.000581613,0,0,32
0.777777778,0.141114013,0.929981962,0.6,0.082785,0,0.65,0.962962963,1.0,1.0,0.878787879,0.333333333,1.0,0.441860465,0.441860465,0.058823529,0.000581831,0,0,33
0.777777778,0.054670176,0.930477081,0.6,0.059913,0,0.65,0.962962963,1.0,1.0,0.878787879,0.333333333,1.0,0.395348837,0.441860465,0.058823529,0.00058205,0,0,34
0.814814815,0.100988539,0.930970345,0.6,0.059362,0,0.65,0.962962963,1.0,1.0,0.878787879,0.324242424,1.0,0.418604651,0.441860465,0.058823529,0.000582269,0,0,35
0.888888889,0.142300057,0.931463609,0.6,0.060523,0,0.65,0.962962963,1.0,1.0,0.878787879,0.324242424,1.0,0.465116279,0.441860465,0.058823529,0.000582487,0,0,36
0.740740741,0.080928832,0.931952071,0.6,0.169074,0,0.65,0.962962963,1.0,0.985294118,0.878787879,0.324242424,1.0,0.418604651,0.441860465,0.058823529,0.000582706,0,0,37
0.851851852,0.162847719,0.932410779,0.55,0.060992,0,0.65,0.962962963,1.0,1.0,0.878787879,0.333333333,1.0,0.418604651,0.441860465,0.058823529,0.000582924,0,0,38
0.814814815,0.069116882,0.932919382,0.65,0.112534,0,0.65,0.962962963,1.0,1.0,0.878787879,0.324242424,1.0,0.418604651,0.441860465,0.058823529,0.000583143,0,0,39
0.851851852,0.157809556,0.933444648,0.65,0.123843,0,0.65,0.962962963,1.0,1.0,0.878787879,0.333333333,1.0,0.418604651,0.441860465,0.058823529,0.000583361,0,0,40
0.814814815,0.066790255,0.933948896,0.6,0.094546,0,0.625,0.962962963,1.0,0.985294118,0.878787879,0.324242424,1.0,0.465116279,0.441860465,0.058823529,0.00058358,0,0,41
0.777777778,0.126026802,0.934442499,0.65,0.082234,0,0.65,0.962962963,1.0,1.0,0.878787879,0.333333333,1.0,0.395348837,0.430232558,0.058823529,0.000583798,0,0,42
0.851851852,0.043943244,0.934959402,0.6,0.153866,0,0.65,0.962962963,1.0,1.0,0.878787879,0.324242424,1.0,0.488372093,0.441860465,0.058823529,0.000584017,0,0,43
