idx,phy_ul_n_samples,phy_dl_n_samples,mac_dl_buffer,mac_dl_brate,mac_ul_brate,mac_dl_ok,mac_dl_nok,mac_ul_ok,mac_ul_nok,timestamp,label_encoded
96,18,4,0,113422,175733,2,0,7,0,16668593,0
97,8,2,0,80266,119200,1,0,3,0,16668593,0
98,2,5,0,133333,47377,2,0,1,0,16668593,0
99,15,4,0,220266,360000,2,0,6,0,16668593,0
100,14,7,0,162222,165511,3,0,6,0,16668593,0
101,13,5,0,66577,286577,1,0,6,0,16668593,0
102,31,0,0,156800,279022,1,0,9,4,16668593,0
103,12,5,0,81955,57511,2,0,5,0,16668593,0
104,47,9,0,162222,259466,3,1,19,0,16668593,0
105,64,9,0,155111,329066,3,1,25,0,16668593,0
106,42,6,0,113422,224977,2,0,17,0,16668593,0
107,30,4,0,176000,160177,1,0,13,0,16668593,0
108,13,0,0,33155,69777,1,0,5,0,16668593,0
109,37,6,0,80266,176888,1,0,15,0,16668593,0
110,30,8,0,121333,155022,3,1,12,0,16668593,0
111,79,14,0,149422,430577,3,1,32,0,16668593,0
112,28,3,0,113422,161155,2,0,11,0,16668593,0
113,46,6,0,114844,240800,2,0,19,0,16668593,0
114,45,6,0,114844,226844,2,0,18,0,16668593,0
115,49,5,0,114844,243644,2,0,19,0,16668593,0
116,29,3,0,80266,149511,1,0,11,0,16668593,0
117,40,5,0,113422,226044,2,0,16,0,16668593,0
118,21,7,0,209333,211911,3,0,8,0,16668593,0
119,17,8,0,114844,166044,2,0,8,0,16668593,0
120,13,2,0,114844,58400,2,0,5,0,16668593,0
121,8,6,0,34577,130311,1,0,4,0,16668593,0
122,11,3,0,114844,162400,2,0,5,0,16668593,0
123,11,5,0,114844,118133,2,0,5,0,16668593,0
124,24,6,0,114844,135733,2,0,7,4,16668593,0
125,15,5,0,114844,136888,2,0,6,0,16668593,0
126,12,3,0,47377,0,1,0,0,4,16668593,0
127,0,3,0,1600,0,1,0,0,0,16668593,0
128,53,6,0,314311,284533,3,0,21,0,16668593,0
129,115,19,0,293155,612177,6,0,46,0,16668593,0
130,46,8,0,184000,320177,4,0,18,0,16668593,0
131,33,2,0,80266,88711,1,0,10,4,16668593,0
132,55,11,0,114844,310933,2,1,22,0,16668593,0
133,32,3,0,114844,162755,2,0,13,0,16668593,0
134,30,6,0,85955,191111,1,0,12,0,16668593,0
135,34,6,0,243911,185777,4,1,14,0,16668593,0
136,66,10,0,200800,324711,3,1,26,0,16668593,0
137,29,4,0,81955,144711,2,0,12,0,16668593,0
138,74,16,0,241066,495111,4,2,30,0,16668593,0
139,42,7,0,195377,286577,4,0,15,1,16668593,0
140,28,5,0,113422,279022,2,0,11,1,16668593,0
141,22,5,0,116266,132355,2,0,7,1,16668593,0
142,15,2,0,83111,53600,1,0,3,3,16668593,0
143,25,6,0,152266,246044,3,0,10,0,16668593,0
144,11,4,0,83111,134488,1,0,5,0,16668593,0
145,11,2,0,113422,58400,2,0,5,0,16668593,0
146,11,2,0,33155,142933,1,0,4,0,16668593,0
147,15,4,0,116266,180711,2,0,7,0,16668593,0
148,13,7,0,163644,85066,3,0,5,0,16668593,0
149,17,4,0,114844,165066,2,0,7,0,16668593,0
150,17,4,0,114844,212177,2,0,7,0,16668593,0
151,17,5,0,116266,213244,2,0,7,0,16668593,0
152,15,5,0,113422,211911,2,0,6,0,16668593,0
153,15,5,0,117688,211911,2,0,6,0,16668593,0
154,15,5,0,83111,135822,1,0,6,0,16668593,0
155,15,2,0,114844,135822,2,0,6,0,16668593,0
156,9,5,0,33155,206400,1,0,4,0,16668593,0
157,14,3,0,114844,209066,2,0,6,0,16668593,0
158,15,5,0,113422,165866,2,0,6,0,16668593,0
159,17,4,0,113422,213244,2,0,7,0,16668593,0
160,17,5,0,113422,213244,2,0,7,0,16668593,0
161,17,5,0,114844,213244,2,0,7,0,16668593,0
162,17,5,0,114844,213244,2,0,7,0,16668593,0
163,15,5,0,113422,211911,2,0,6,0,16668593,0
164,15,5,0,80266,135822,1,0,6,0,16668593,0
165,15,2,0,113422,135822,2,0,6,0,16668593,0
166,11,7,0,81955,207733,2,0,5,0,16668593,0
167,14,3,0,113422,209066,2,0,6,0,16668593,0
168,15,4,0,113422,165866,2,0,6,0,16668593,0
169,17,5,0,113422,213244,2,0,7,0,16668593,0
170,17,7,0,164355,213244,3,0,7,0,16668593,0
171,17,5,0,113422,213244,2,0,7,0,16668593,0
172,17,5,0,114844,213244,2,0,7,0,16668593,0
173,15,5,0,113422,211911,2,0,6,0,16668593,0
174,15,5,0,80266,135822,1,0,6,0,16668593,0
175,15,2,0,114844,135822,2,0,6,0,16668593,0
176,11,5,0,34577,207733,1,0,5,0,16668593,0
177,14,2,0,113422,209066,2,0,6,0,16668593,0
178,15,5,0,113422,165866,2,0,6,0,16668593,0
179,13,6,0,114844,135822,2,0,6,0,16668593,0
180,24,8,0,207911,135822,3,0,6,4,16668593,0
181,23,6,0,114844,133511,2,0,6,4,16668593,0
182,27,7,0,162222,135288,3,0,8,2,16668593,0
183,18,3,0,80266,55022,1,0,5,2,16668593,0
184,12,7,0,81955,163733,2,0,6,0,16668593,0
185,21,5,0,193688,135466,3,0,8,0,16668593,0
186,15,5,0,33155,207733,1,0,5,0,16668593,0
187,10,3,0,113422,163555,2,0,4,0,16668593,0
188,22,5,0,114844,156977,2,0,6,3,16668593,0
189,45,5,0,114844,225155,2,0,18,0,16668593,0
190,35,6,0,80266,173866,1,0,14,0,16668593,0
191,39,2,0,113422,276355,2,0,16,0,16668593,0
192,13,6,0,113422,87733,2,0,5,0,16668593,0
193,19,9,0,155111,235200,3,0,8,0,16668593,0
194,14,5,0,113422,211911,2,0,6,0,16668593,0
195,19,8,0,200800,210844,3,0,8,0,16668593,0
196,9,3,0,34577,81422,1,0,4,0,16668593,0
197,13,4,0,80266,134844,1,0,5,0,16668593,0
198,24,5,0,149422,210577,3,0,9,0,16668593,0
199,9,3,0,80266,52888,1,0,3,0,16668593,0
200,9,2,0,114400,224977,1,0,3,0,16668593,0
201,20,6,0,148977,272533,2,0,6,2,16668593,0
202,23,4,0,114844,132800,2,0,6,3,16668593,0
203,8,3,0,113422,161600,2,0,4,0,16668593,0
204,16,6,0,166222,190400,2,0,6,0,16668593,0
205,18,3,0,69155,126044,2,0,7,0,16668593,0
206,23,5,0,114844,135822,2,0,6,4,16668593,0
207,22,4,0,113422,213155,2,0,8,0,16668593,0
208,13,8,0,127644,131466,2,0,5,0,16668593,0
209,20,5,0,146577,137155,3,0,7,1,16668593,0
210,17,8,0,200800,178044,3,0,7,0,16668593,0
211,16,11,0,81955,133333,2,1,6,0,16668593,0
212,14,11,0,193688,155911,3,2,6,0,16668593,0
213,10,2,0,34577,83288,1,0,3,1,16668593,0
214,44,3,0,165033,349752,1,0,13,4,16668593,0
215,15,2,0,79384,79120,1,0,6,0,16668593,0
216,73,9,0,149422,390488,3,1,29,0,16668593,0
217,23,2,0,83111,150577,1,0,9,0,16668594,0
218,50,9,0,113422,282044,2,1,20,1,16668594,0
219,35,5,0,209333,176711,3,0,14,0,16668594,0
220,30,5,0,129066,144711,2,0,12,0,16668594,0
221,57,11,0,166222,295555,2,1,23,0,16668594,0
222,29,6,878,69932,158741,2,1,12,0,16668594,0
223,16,8,0,159032,166153,3,0,6,0,16668594,0
224,18,9,0,160800,86400,3,0,6,0,16668594,0
225,17,5,0,116266,213244,2,0,7,0,16668594,0
226,17,4,0,113422,213244,2,0,7,0,16668594,0
227,17,5,0,113422,213244,2,0,7,0,16668594,0
228,17,4,0,114844,131644,2,0,5,2,16668594,0
229,11,5,0,289155,226311,3,0,4,1,16668594,0
230,33,6,0,80266,174844,1,0,13,0,16668594,0
231,65,8,0,149422,368622,3,0,27,0,16668594,0
232,30,2,0,114844,177955,2,0,12,0,16668594,0
233,43,12,0,113422,211022,2,3,16,1,16668594,0
234,31,8,0,163644,206044,3,0,10,2,16668594,0
235,14,5,0,113422,134488,2,0,5,1,16668594,0
236,11,3,0,156800,65511,1,0,5,0,16668594,0
237,85,13,0,269955,563111,5,1,34,0,16668594,0
238,18,3,0,33155,106488,1,0,7,0,16668594,0
239,36,3,0,156800,255377,1,0,12,4,16668594,0
240,13,3,0,83111,80177,1,0,5,0,16668594,0
241,81,19,0,150666,391822,5,2,31,1,16668594,0
242,21,6,0,130488,95822,2,0,8,0,16668594,0
243,72,8,0,152266,387644,3,0,29,0,16668594,0
244,2,3,0,97333,13955,1,0,1,0,16668594,0
245,38,4,0,80266,190666,1,0,15,0,16668594,0
246,73,8,0,281333,377511,5,0,29,0,16668594,0
247,15,3,0,34577,208000,1,0,6,0,16668594,0
248,13,5,0,212177,83111,3,0,5,0,16668594,0
249,11,2,0,83111,97333,1,0,5,0,16668594,0
250,21,11,0,198222,293688,4,0,8,0,16668594,0
251,6,2,0,83111,55733,1,0,3,0,16668594,0
252,30,8,0,149422,341777,3,0,11,1,16668594,0
253,20,6,0,116266,200000,2,0,8,0,16668594,0
254,6,2,0,83111,52888,1,0,3,0,16668594,0
255,18,6,0,213600,193866,3,0,8,0,16668594,0
256,8,2,0,33155,81777,1,0,4,0,16668594,0
257,6,3,0,83111,55733,1,0,3,0,16668594,0
258,8,3,0,114400,184888,1,0,4,0,16668594,0
259,15,5,0,147555,247644,2,0,6,0,16668594,0
260,23,7,0,213600,134488,3,0,5,4,16668594,0
261,33,4,0,117688,243022,2,0,10,3,16668594,0
262,14,7,0,163644,166577,3,0,6,0,16668594,0
263,12,2,0,83111,136800,1,0,5,0,16668594,0
264,25,12,0,244177,244266,5,0,8,2,16668594,0
265,28,7,0,199377,193600,3,0,10,0,16668594,0
266,13,2,0,33155,122400,1,0,5,0,16668594,0
267,23,5,0,116266,211911,2,0,6,3,16668594,0
268,22,6,0,116266,246577,2,0,10,0,16668594,0
269,31,12,0,232533,221955,4,1,8,4,16668594,0
270,26,4,0,114844,135822,2,0,6,4,16668594,0
271,25,5,0,117688,213866,2,0,10,0,16668594,0
272,9,5,0,83111,141688,1,0,4,0,16668594,0
273,12,3,0,147555,216266,2,0,5,0,16668594,0
274,18,10,0,116266,167377,2,0,7,0,16668594,0
275,12,2,0,213600,207200,3,0,5,0,16668594,0
276,15,5,0,117688,88444,2,0,5,0,16668594,0
277,24,5,0,116266,136088,2,0,6,4,16668594,0
278,15,4,0,83111,135200,1,0,5,0,16668594,0
279,26,2,0,117688,170044,2,0,7,3,16668594,0
280,53,4,0,114844,327200,2,0,20,1,16668594,0
281,14,3,0,33155,64533,1,0,6,0,16668594,0
282,65,12,0,200800,341333,3,1,26,0,16668594,0
283,36,3,0,34577,172355,1,0,14,0,16668594,0
284,38,5,0,116266,214844,2,0,17,0,16668594,0
285,51,10,0,83111,267022,1,1,21,0,16668594,0
286,36,2,0,149422,178933,3,0,15,0,16668594,0
287,51,9,0,163644,222133,3,1,20,0,16668594,0
288,14,3,0,83111,67911,1,0,5,1,16668594,0
289,51,17,0,243911,320177,4,2,21,0,16668594,0
290,28,5,0,83111,175377,1,0,11,0,16668594,0
291,14,5,0,113688,154044,3,0,5,0,16668594,0
292,19,11,0,160800,213422,3,1,7,0,16668594,0
293,24,5,0,116266,138844,2,0,8,0,16668594,0
294,11,5,0,34577,206400,1,0,4,0,16668594,0
295,9,2,0,117688,83200,2,0,4,0,16668594,0
296,7,2,0,83111,55733,1,0,3,0,16668594,0
297,12,2,0,110133,184888,1,0,4,0,16668594,0
298,12,4,0,116266,107733,2,0,4,0,16668594,0
299,21,6,0,33777,128088,2,0,5,4,16668594,0
300,30,14,0,293066,210844,5,0,8,4,16668594,0
301,59,15,0,114844,285422,2,2,23,0,16668594,0
302,35,8,878,163644,176000,3,0,14,0,16668594,0
303,64,16,0,277066,336177,5,2,26,0,16668594,0
304,27,7,0,130488,173688,2,0,11,0,16668594,0
305,19,9,0,196800,337066,4,0,8,0,16668594,0
306,16,5,0,116266,135822,2,0,6,0,16668594,0
307,20,3,0,117688,131644,2,0,5,4,16668594,0
308,15,6,0,83111,138577,1,0,7,0,16668594,0
309,15,2,0,116266,146133,2,0,6,0,16668594,0
310,6,3,0,33155,156177,1,0,3,0,16668594,0
311,18,3,0,83111,100266,1,0,4,3,16668594,0
312,2,5,0,157955,23911,2,0,1,0,16668594,0
313,64,5,0,143288,515022,2,0,21,5,16668594,0
314,18,2,0,47377,87200,1,0,7,0,16668594,0
315,0,4,0,177600,0,2,0,0,0,16668594,0
316,109,21,0,423644,582488,8,1,43,0,16668594,0
317,14,7,0,197511,276533,2,0,5,0,16668594,0
318,8,2,0,80533,127822,2,0,4,0,16668594,0
319,16,5,0,116266,164533,2,0,5,2,16668594,0
320,11,2,0,83111,103288,1,0,4,0,16668594,0
321,40,6,352,116266,245600,2,1,16,0,16668594,0
322,14,8,0,155111,222400,3,0,6,0,16668594,0
323,9,2,0,83111,52888,1,0,3,0,16668594,0
324,26,7,0,149422,291022,3,0,10,0,16668594,0
325,8,5,0,157511,163377,2,0,4,0,16668594,0
326,17,8,0,199377,284888,3,0,6,2,16668594,0
327,19,5,0,113422,178044,2,0,7,0,16668594,0
328,9,6,0,177866,110844,3,0,3,0,16668594,0
329,13,5,0,116266,135822,2,0,6,0,16668594,0
330,18,7,0,163644,134488,3,0,5,2,16668594,0
331,29,6,0,116266,244444,2,0,10,2,16668594,0
332,47,6,0,116266,243644,2,0,19,0,16668594,0
333,67,9,0,250966,335550,4,0,27,0,16668594,0
334,41,5,0,116266,240088,2,0,17,0,16668594,0
335,25,3,0,33155,131022,1,0,10,0,16668594,0
336,66,8,0,197186,334241,3,1,28,0,16668594,0
337,30,3,0,33528,136808,1,0,12,0,16668594,0
338,22,2,0,85955,109777,1,0,9,0,16668594,0
339,71,9,0,241230,372395,4,0,28,0,16668594,0
340,48,4,0,114844,240800,2,0,19,0,16668594,0
341,48,7,0,162606,243505,3,0,19,0,16668594,0
342,48,4,0,116266,240800,2,0,19,0,16668594,0
343,20,4,0,130488,95822,2,0,8,0,16668594,0
344,50,4,0,114989,250109,2,0,20,0,16668594,0
345,46,4,0,117573,229393,2,0,18,0,16668594,0
346,48,4,0,114844,240800,2,0,19,0,16668594,0
347,40,4,0,34577,198933,1,0,16,0,16668594,0
348,38,2,0,112175,198593,2,0,15,0,16668594,0
349,46,8,0,163644,226844,3,1,18,0,16668594,0
350,45,5,0,119011,231370,2,0,18,0,16668594,0
351,48,4,0,114844,240800,2,0,19,0,16668594,0
352,48,4,0,116395,238153,2,0,19,0,16668594,0
353,35,4,0,83111,173866,1,0,14,0,16668594,0
354,37,3,0,117573,188853,2,0,15,0,16668594,0
355,46,4,0,116266,226844,2,0,18,0,16668594,0
356,48,7,0,114989,238153,2,0,19,0,16668594,0
357,40,4,0,129066,198933,2,0,16,0,16668594,0
358,38,2,0,117573,203056,2,0,15,0,16668594,0
359,46,4,0,117688,226844,2,0,18,0,16668594,0
360,48,4,0,116266,240800,2,0,19,0,16668594,0
361,48,4,0,112175,238153,2,0,19,0,16668594,0
362,45,5,0,117573,231370,2,0,18,0,16668594,0
363,33,4,0,83111,180533,1,0,13,0,16668594,0
364,35,2,0,116395,174769,2,0,14,0,16668594,0
365,46,4,0,117688,226844,2,0,18,0,16668594,0
366,48,4,0,114844,240800,2,0,19,0,16668594,0
367,40,4,0,34966,201168,1,0,16,0,16668594,0
368,38,2,0,112175,198593,2,0,15,0,16668594,0
369,46,6,0,163644,226844,3,0,18,0,16668594,0
370,48,4,0,117688,240800,2,0,19,0,16668594,0
