actual\predicted,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5
actual_0,15439,0,0,0,0,1
actual_1,0,487,12089,0,2864,0
actual_2,0,0,15435,0,5,0
actual_3,1703,2332,141,6991,20,4253
actual_4,0,0,11,0,15429,0
actual_5,0,801,0,0,244,14395
