timestamp_iso,t_rel_s,phase,cpu_percent,rss_mb,gpu_util_percent,gpu_mem_used_mb
2026-06-01T13:50:20.181702+00:00,0.001,fetching,0.0,314.33203125,,
2026-06-01T13:50:22.182023+00:00,2.001,fetching,84.0,313.3359375,,
2026-06-01T13:50:24.245517+00:00,4.065,fetching,90.6,279.7265625,,
2026-06-01T13:50:26.295732+00:00,6.115,fetching,92.4,291.7265625,,
2026-06-01T13:50:28.327626+00:00,8.147,fetching,91.4,307.49609375,,
2026-06-01T13:50:30.372782+00:00,10.192,fetching,91.6,319.27734375,,
2026-06-01T13:50:32.373210+00:00,12.193,inferring,78.4,401.734375,,
2026-06-01T13:50:34.373495+00:00,14.193,inferring,64.5,401.734375,,
2026-06-01T13:50:36.373812+00:00,16.193,inferring,65.0,401.734375,,
2026-06-01T13:50:38.377581+00:00,18.197,inferring,65.4,401.734375,,
2026-06-01T13:50:40.377895+00:00,20.197,inferring,64.5,401.734375,,
2026-06-01T13:50:42.378293+00:00,22.198,inferring,65.0,403.921875,,
