timestamp_iso,t_rel_s,phase,cpu_percent,rss_mb,gpu_util_percent,gpu_mem_used_mb
2026-06-04T07:13:03.828440+00:00,0.001,fetching,0.0,295.015625,,
2026-06-04T07:13:05.879486+00:00,2.052,fetching,83.4,307.73046875,,
2026-06-04T07:13:07.917553+00:00,4.09,fetching,92.5,323.4921875,,
2026-06-04T07:13:09.972641+00:00,6.145,fetching,90.9,340.796875,,
2026-06-04T07:13:12.033221+00:00,8.206,fetching,91.9,352.57421875,,
2026-06-04T07:13:14.094993+00:00,10.268,fetching,93.3,364.35546875,,
2026-06-04T07:13:16.095294+00:00,12.268,inferring,47.8,446.8125,,
2026-06-04T07:13:18.095571+00:00,14.268,inferring,29.5,446.8125,,
2026-06-04T07:13:20.112339+00:00,16.285,inferring,30.3,446.8125,,
2026-06-04T07:13:22.112659+00:00,18.285,inferring,30.0,446.8125,,
2026-06-04T07:13:24.123222+00:00,20.296,inferring,28.9,446.8125,,
2026-06-04T07:13:26.140686+00:00,22.313,inferring,29.7,446.8125,,
2026-06-04T07:13:28.143655+00:00,24.316,inferring,29.9,446.8125,,
2026-06-04T07:13:30.163104+00:00,26.336,inferring,31.0,446.8125,,
2026-06-04T07:13:32.163402+00:00,28.336,inferring,29.7,446.8125,,
2026-06-04T07:13:34.177709+00:00,30.35,inferring,30.8,447.1015625,,
2026-06-04T07:13:36.178048+00:00,32.351,inferring,28.5,448.28125,,
2026-06-04T07:13:38.178309+00:00,34.351,inferring,32.0,450.51171875,,
2026-06-04T07:13:40.178735+00:00,36.351,inferring,31.0,453.57421875,,
