model,dataset,instances,mean_ms,p95_ms,p99_ms,throughput_inst_per_s,acc,f1,precision,recall
transformer-cu,CU,12700,183.892,200.767,266.158,69062.32,0.964567,0.963343,0.989458,0.938571
transformer-cu,CU,12800,194.308,264.38,291.686,65874.83,0.964688,0.963478,0.989215,0.939046
transformer-cu,CU,12900,199.905,285.937,293.347,64530.8,0.964729,0.963545,0.989143,0.939238
transformer-cu,CU,13000,201.061,290.223,291.295,64657.07,0.964923,0.96374,0.989226,0.939535
transformer-cu,CU,13100,195.604,289.329,293.755,66972.0,0.964962,0.963793,0.989312,0.939557
transformer-cu,CU,13200,195.333,286.502,291.646,67576.84,0.965076,0.963914,0.989235,0.939857
transformer-cu,CU,13300,202.849,290.341,291.974,65566.14,0.964812,0.963602,0.989301,0.939206
transformer-cu,CU,13400,200.934,289.621,290.529,66688.7,0.964851,0.963683,0.989392,0.939276
transformer-cu,CU,13500,208.274,289.429,292.879,64818.58,0.964815,0.963649,0.989315,0.939281
transformer-cu,CU,13600,207.215,292.08,297.635,65632.37,0.964926,0.96379,0.989247,0.939609
transformer-cu,CU,13700,557.905,290.561,13414.876,24556.17,0.965036,0.963841,0.989307,0.939653
transformer-cu,CU,13800,911.788,292.318,21301.033,15135.09,0.965145,0.963957,0.989386,0.939801
