model,dataset,instances,mean_ms,p95_ms,p99_ms,throughput_inst_per_s,acc,f1,precision,recall
autoencoder-cu,CU,24400,259.029,271.541,280.481,94198.04,0.817295,0.844267,0.733475,0.994486
autoencoder-cu,CU,24500,260.217,272.145,277.579,94152.02,0.817469,0.844463,0.733756,0.994511
autoencoder-cu,CU,24600,259.407,271.592,275.828,94831.6,0.817358,0.844366,0.733598,0.994533
autoencoder-cu,CU,24700,263.289,277.437,283.198,93813.37,0.81753,0.844538,0.733845,0.994557
autoencoder-cu,CU,24800,262.857,276.126,281.748,94348.01,0.817419,0.844527,0.733815,0.994581
autoencoder-cu,CU,24900,264.131,276.331,279.966,94271.46,0.817349,0.844566,0.733904,0.994527
autoencoder-cu,CU,25000,267.259,280.44,285.655,93542.37,0.81748,0.844748,0.734296,0.994313
autoencoder-cu,CU,25100,265.382,276.523,281.992,94580.74,0.817291,0.844616,0.734083,0.994336
autoencoder-cu,CU,25200,267.486,279.236,286.674,94210.69,0.817222,0.844623,0.73408,0.994361
autoencoder-cu,CU,25300,267.046,282.835,288.211,94740.3,0.817154,0.844536,0.733937,0.994381
autoencoder-cu,CU,25400,268.505,281.3,285.878,94597.73,0.817008,0.84433,0.733617,0.994399
autoencoder-cu,CU,25500,269.495,280.398,285.396,94621.53,0.816941,0.844338,0.733615,0.994423
autoencoder-cu,CU,25600,271.56,288.013,295.16,94270.16,0.817227,0.844567,0.733949,0.994446
autoencoder-cu,CU,25700,271.548,285.133,293.128,94642.71,0.817198,0.844602,0.733989,0.99447
autoencoder-cu,CU,25800,272.163,286.852,289.846,94796.12,0.816899,0.84439,0.733658,0.994491
autoencoder-cu,CU,25900,273.521,289.346,293.553,94691.14,0.816873,0.844436,0.733713,0.994515
autoencoder-cu,CU,26000,274.522,290.71,296.239,94710.0,0.816885,0.844376,0.733614,0.994533
autoencoder-cu,CU,26100,276.806,291.704,298.007,94289.93,0.817165,0.84455,0.733865,0.994553
autoencoder-cu,CU,26200,273.01,286.182,289.53,95967.07,0.81729,0.844643,0.734037,0.994498
autoencoder-cu,CU,26300,275.532,288.31,293.981,95451.62,0.817262,0.844577,0.733925,0.994516
autoencoder-cu,CU,26400,280.834,293.066,308.2,94005.83,0.817235,0.84458,0.733919,0.994538
autoencoder-cu,CU,26500,279.789,295.35,298.613,94714.15,0.81717,0.844467,0.733739,0.994556
autoencoder-cu,CU,26600,281.827,295.658,304.035,94384.15,0.817143,0.844432,0.733674,0.994575
autoencoder-cu,CU,26700,283.682,297.219,305.639,94119.33,0.817378,0.844525,0.733806,0.994593
autoencoder-cu,CU,26800,282.547,296.224,298.138,94851.36,0.817276,0.844436,0.733701,0.994538
autoencoder-cu,CU,26900,283.155,293.955,299.472,95000.97,0.816989,0.844194,0.733326,0.994556
autoencoder-cu,CU,27000,285.583,300.438,305.777,94543.31,0.817148,0.844332,0.733523,0.994577
autoencoder-cu,CU,27100,285.589,298.711,306.631,94891.67,0.816937,0.844214,0.733333,0.994599
autoencoder-cu,CU,27200,285.66,298.07,301.111,95218.12,0.816985,0.844233,0.733351,0.994618
autoencoder-cu,CU,27300,289.635,305.364,308.031,94256.55,0.817106,0.844372,0.73355,0.994639
autoencoder-cu,CU,27400,287.867,298.988,304.876,95182.89,0.816971,0.844298,0.733427,0.99466
autoencoder-cu,CU,27500,289.593,305.893,318.335,94960.92,0.817091,0.844398,0.733566,0.99468
autoencoder-cu,CU,27600,292.384,307.454,313.552,94396.57,0.817174,0.844499,0.733708,0.994701
autoencoder-cu,CU,27700,287.805,302.235,311.673,96245.73,0.816895,0.844274,0.733358,0.994719
autoencoder-cu,CU,27800,289.086,302.557,311.267,96165.16,0.816619,0.843964,0.732883,0.994733
autoencoder-cu,CU,27900,293.124,308.264,315.918,95181.72,0.816452,0.843753,0.732556,0.994748
autoencoder-cu,CU,28000,295.725,311.245,324.714,94682.65,0.816429,0.843759,0.732556,0.994768
autoencoder-cu,CU,28100,295.032,308.763,312.997,95243.76,0.816512,0.84389,0.732779,0.994718
autoencoder-cu,CU,28200,294.717,314.377,317.875,95685.17,0.816383,0.843801,0.732635,0.994737
autoencoder-cu,CU,28300,293.567,305.549,317.749,96400.56,0.816325,0.843763,0.732644,0.994615
autoencoder-cu,CU,28400,295.389,309.398,318.779,96144.26,0.816549,0.843909,0.732855,0.994633
autoencoder-cu,CU,28500,302.131,314.251,321.64,94329.81,0.816246,0.84363,0.732462,0.994579
autoencoder-cu,CU,28600,300.632,310.348,326.064,95132.87,0.816434,0.843806,0.732717,0.9946
autoencoder-cu,CU,28700,298.304,310.255,314.843,96210.68,0.816376,0.84375,0.732623,0.994618
autoencoder-cu,CU,28800,302.405,320.357,326.656,95236.68,0.81625,0.843617,0.732451,0.994565
autoencoder-cu,CU,28900,301.147,315.898,319.012,95966.46,0.816228,0.843661,0.732505,0.994586
autoencoder-cu,CU,29000,304.676,321.472,333.051,95183.19,0.816207,0.843585,0.732382,0.994602
autoencoder-cu,CU,29100,308.19,326.605,351.241,94422.35,0.816048,0.843466,0.73223,0.994552
