model,dataset,instances,mean_ms,p95_ms,p99_ms,throughput_inst_per_s,acc,f1,precision,recall
lstm-cu,CU,75000,565.883,584.699,611.156,132536.29,0.949213,0.949481,0.945231,0.953769
lstm-cu,CU,75100,567.438,585.201,614.02,132349.27,0.949228,0.949503,0.945259,0.953785
lstm-cu,CU,75200,574.15,588.625,620.356,130976.23,0.949255,0.949526,0.945275,0.953816
lstm-cu,CU,75300,572.854,583.167,585.157,131447.09,0.949256,0.949526,0.945293,0.953798
lstm-cu,CU,75400,576.757,586.18,588.822,130730.89,0.949231,0.949509,0.945245,0.953812
lstm-cu,CU,75500,572.704,583.523,586.697,131830.74,0.949179,0.949465,0.945269,0.953698
lstm-cu,CU,75600,569.137,583.315,598.499,132832.68,0.94918,0.949467,0.945265,0.953707
lstm-cu,CU,75700,572.588,583.716,584.754,132206.81,0.949128,0.949429,0.945271,0.953625
lstm-cu,CU,75800,574.178,584.766,586.613,132014.77,0.949103,0.949398,0.945306,0.953525
lstm-cu,CU,75900,576.524,584.08,598.6,131651.05,0.949144,0.949438,0.945327,0.953585
lstm-cu,CU,76000,576.962,583.433,586.234,131724.44,0.949132,0.949415,0.945358,0.953507
lstm-cu,CU,76100,575.614,585.625,613.694,132206.66,0.949146,0.949432,0.94538,0.953518
lstm-cu,CU,76200,576.501,583.412,586.508,132176.66,0.949147,0.949445,0.945362,0.953563
lstm-cu,CU,76300,576.326,585.501,609.067,132390.44,0.949096,0.949386,0.945321,0.953487
lstm-cu,CU,76400,576.739,583.94,586.459,132468.9,0.94911,0.949403,0.945367,0.953473
lstm-cu,CU,76500,575.743,583.119,585.118,132871.84,0.949085,0.949373,0.945306,0.953475
lstm-cu,CU,76600,576.658,583.328,584.176,132834.31,0.949021,0.949313,0.945252,0.953409
lstm-cu,CU,76700,574.856,582.323,584.502,133424.69,0.949048,0.949336,0.945268,0.95344
lstm-cu,CU,76800,576.751,585.408,592.929,133159.62,0.949036,0.949325,0.945262,0.953424
lstm-cu,CU,76900,575.829,583.334,588.032,133546.68,0.949051,0.949346,0.945288,0.953438
lstm-cu,CU,77000,576.36,582.836,583.6,133597.16,0.949039,0.949348,0.945273,0.953459
lstm-cu,CU,77100,575.353,582.967,584.695,134004.78,0.949066,0.949379,0.945322,0.953472
lstm-cu,CU,77200,576.354,582.783,585.19,133945.55,0.949028,0.949344,0.945243,0.953481
lstm-cu,CU,77300,576.059,583.923,619.825,134187.72,0.94903,0.94934,0.945208,0.953509
lstm-cu,CU,77400,574.915,582.714,583.42,134628.49,0.948992,0.949305,0.945155,0.953493
lstm-cu,CU,77500,574.869,582.414,584.383,134813.24,0.949019,0.949334,0.945225,0.953479
lstm-cu,CU,77600,575.76,582.177,586.266,134778.46,0.949034,0.949337,0.945232,0.953478
lstm-cu,CU,77700,575.822,583.065,588.017,134937.62,0.94906,0.949369,0.945258,0.953516
lstm-cu,CU,77800,574.611,582.229,582.679,135396.05,0.9491,0.949408,0.945326,0.953526
