model,dataset,instances,mean_ms,p95_ms,p99_ms,throughput_inst_per_s,acc,f1,precision,recall
lstm-cu,CU,16000,92.806,98.329,102.519,172403.04,0.950063,0.949707,0.945719,0.953729
lstm-cu,CU,16100,93.861,100.229,105.524,171529.52,0.950124,0.949809,0.945731,0.953923
lstm-cu,CU,16200,94.841,101.318,105.028,170812.76,0.95037,0.950019,0.94602,0.954052
lstm-cu,CU,16300,94.87,100.969,105.595,171814.39,0.950245,0.949941,0.945796,0.954123
lstm-cu,CU,16400,95.503,102.916,106.849,171723.03,0.950366,0.950074,0.945896,0.954288
lstm-cu,CU,16500,96.062,101.449,106.224,171763.42,0.950545,0.950268,0.946117,0.954456
lstm-cu,CU,16600,96.441,101.07,104.553,172126.36,0.950422,0.950148,0.945966,0.954368
lstm-cu,CU,16700,97.887,104.299,107.46,170604.32,0.950359,0.950111,0.945956,0.954304
lstm-cu,CU,16800,97.059,102.94,106.153,173090.9,0.950357,0.950179,0.94611,0.954284
lstm-cu,CU,16900,98.41,105.634,106.432,171730.8,0.950059,0.949887,0.945508,0.954307
lstm-cu,CU,17000,99.55,105.048,112.549,170769.15,0.949824,0.949667,0.945593,0.953775
lstm-cu,CU,17100,98.6,103.174,107.335,173427.86,0.949708,0.949566,0.945353,0.953817
lstm-cu,CU,17200,100.047,105.831,112.25,171919.27,0.949826,0.94967,0.945535,0.953843
lstm-cu,CU,17300,100.785,108.897,111.395,171652.39,0.949711,0.949548,0.94549,0.95364
lstm-cu,CU,17400,100.855,107.667,109.645,172524.97,0.949655,0.949504,0.945471,0.953572
lstm-cu,CU,17500,104.79,110.429,112.528,167001.39,0.949714,0.949559,0.945548,0.953603
lstm-cu,CU,17600,104.397,109.8,111.61,168587.69,0.949489,0.949336,0.945188,0.95352
lstm-cu,CU,17700,105.013,112.121,118.073,168551.16,0.949548,0.949345,0.945323,0.953401
lstm-cu,CU,17800,106.106,114.036,116.712,167756.97,0.949607,0.949354,0.94535,0.953391
