model,dataset,instances,mean_ms,p95_ms,p99_ms,throughput_inst_per_s,acc,f1,precision,recall
cnn-du,DU,51000,356.296,393.252,401.232,143139.45,0.911078,0.918598,0.849789,0.999531
cnn-du,DU,51100,350.197,398.619,407.133,145917.78,0.911115,0.91864,0.849861,0.999532
cnn-du,DU,51200,354.769,395.548,420.142,144319.19,0.911094,0.918627,0.849838,0.999533
cnn-du,DU,51300,350.946,390.62,423.931,146176.53,0.911111,0.918667,0.849906,0.999534
cnn-du,DU,51400,353.52,390.016,402.392,145394.88,0.911128,0.918696,0.849954,0.999535
cnn-du,DU,51500,351.285,390.979,401.208,146604.5,0.911068,0.918653,0.84988,0.999536
cnn-du,DU,51600,355.136,394.631,401.54,145296.46,0.911124,0.918705,0.849969,0.999537
cnn-du,DU,51700,351.319,393.703,402.131,147159.8,0.911141,0.918719,0.849992,0.999538
cnn-du,DU,51800,356.087,393.551,418.395,145470.13,0.911216,0.918784,0.850103,0.999539
cnn-du,DU,51900,355.685,394.069,405.333,145915.61,0.911291,0.918869,0.850248,0.99954
cnn-du,DU,52000,359.471,397.653,410.585,144656.86,0.91125,0.918834,0.850187,0.999541
cnn-du,DU,52100,353.313,390.428,405.65,147461.22,0.911248,0.918826,0.850172,0.999542
cnn-du,DU,52200,362.703,402.488,408.514,143919.25,0.911149,0.918737,0.850019,0.999543
cnn-du,DU,52300,358.657,400.83,409.272,145821.84,0.91109,0.918672,0.849908,0.999543
cnn-du,DU,52400,366.492,401.747,407.593,142977.28,0.911183,0.918759,0.850055,0.999544
cnn-du,DU,52500,363.587,399.734,410.081,144394.77,0.911162,0.918712,0.849974,0.999545
cnn-du,DU,52600,368.382,404.411,407.809,142786.69,0.911217,0.918735,0.850013,0.999546
cnn-du,DU,52700,373.6,403.717,409.833,141059.97,0.91129,0.918787,0.850103,0.999546
cnn-du,DU,52800,370.422,404.673,413.699,142539.96,0.911231,0.918726,0.849997,0.999547
cnn-du,DU,52900,369.394,401.656,411.115,143207.48,0.911323,0.918811,0.850143,0.999548
cnn-du,DU,53000,376.373,407.192,428.645,140817.64,0.911283,0.918757,0.85005,0.999549
cnn-du,DU,53100,380.687,405.269,417.509,139484.75,0.911299,0.918782,0.850091,0.99955
cnn-du,DU,53200,375.11,404.545,416.024,141825.23,0.911297,0.918768,0.850067,0.999551
cnn-du,DU,53300,378.865,408.639,413.748,140683.48,0.911407,0.918888,0.850272,0.999552
cnn-du,DU,53400,377.87,404.226,409.92,141318.3,0.911423,0.918899,0.850289,0.999552
cnn-du,DU,53500,377.501,405.956,408.346,141721.59,0.911346,0.91885,0.850204,0.999553
cnn-du,DU,53600,376.422,406.923,412.894,142393.27,0.911325,0.918817,0.850149,0.999554
cnn-du,DU,53700,380.999,407.46,411.728,140945.21,0.911322,0.918815,0.850144,0.999555
cnn-du,DU,53800,383.982,406.962,410.424,140110.76,0.911283,0.918775,0.850076,0.999556
cnn-du,DU,53900,384.876,407.992,411.643,140045.12,0.911224,0.918715,0.849972,0.999556
cnn-du,DU,54000,388.655,407.263,410.653,138940.71,0.911167,0.918652,0.849864,0.999557
cnn-du,DU,54100,389.663,408.056,431.82,138837.87,0.911128,0.918594,0.84979,0.999521
cnn-du,DU,54200,389.579,406.358,410.896,139124.51,0.911144,0.91861,0.849817,0.999522
cnn-du,DU,54300,386.048,407.054,427.657,140655.95,0.911123,0.918584,0.849772,0.999523
cnn-du,DU,54400,389.949,406.294,407.408,139505.43,0.911158,0.91863,0.849849,0.999524
cnn-du,DU,54500,388.753,407.235,412.121,140191.67,0.911193,0.918669,0.849916,0.999525
cnn-du,DU,54600,391.085,408.358,416.113,139611.75,0.911209,0.918666,0.84991,0.999525
cnn-du,DU,54700,389.619,407.898,412.657,140393.45,0.911188,0.918662,0.849902,0.999526
cnn-du,DU,54800,389.05,408.044,410.959,140855.89,0.911241,0.918719,0.85,0.999527
cnn-du,DU,54900,392.49,405.71,409.575,139876.17,0.911275,0.918748,0.850048,0.999528
cnn-du,DU,55000,384.512,405.723,412.936,143038.51,0.911309,0.918773,0.850091,0.999529
cnn-du,DU,55100,391.602,404.528,406.225,140704.0,0.911289,0.918753,0.850055,0.99953
cnn-du,DU,55200,392.296,403.077,407.36,140710.26,0.911268,0.918754,0.850057,0.999531
cnn-du,DU,55300,390.939,407.414,432.698,141454.3,0.911356,0.918828,0.850182,0.999532
cnn-du,DU,55400,393.168,409.913,434.489,140906.82,0.911372,0.918843,0.850208,0.999533
cnn-du,DU,55500,393.037,408.776,414.556,141208.22,0.911351,0.918844,0.850209,0.999533
cnn-du,DU,55600,392.514,405.733,410.632,141650.96,0.911385,0.91885,0.850219,0.999534
cnn-du,DU,55700,392.312,407.854,416.246,141978.92,0.911382,0.91885,0.850219,0.999535
cnn-du,DU,55800,393.433,412.888,430.868,141828.57,0.911398,0.918863,0.85024,0.999536
cnn-du,DU,55900,392.912,406.036,408.201,142271.12,0.911395,0.918852,0.850221,0.999537
cnn-du,DU,56000,391.797,405.263,407.014,142931.31,0.911411,0.91886,0.850233,0.999537
cnn-du,DU,56100,392.476,410.294,438.557,142938.53,0.91148,0.91893,0.850353,0.999538
cnn-du,DU,56200,392.745,406.719,408.036,143095.54,0.911335,0.918805,0.850139,0.999539
cnn-du,DU,56300,392.629,407.204,409.65,143392.41,0.911279,0.918734,0.850017,0.99954
cnn-du,DU,56400,390.828,404.727,411.355,144309.09,0.911312,0.918778,0.85009,0.999541
cnn-du,DU,56500,393.584,406.553,438.74,143552.75,0.911327,0.918801,0.850129,0.999542
cnn-du,DU,56600,391.848,405.856,420.94,144443.6,0.91136,0.918841,0.850198,0.999542
cnn-du,DU,56700,391.338,405.185,408.892,144887.62,0.911358,0.918849,0.850211,0.999543
cnn-du,DU,56800,392.618,406.442,430.273,144669.84,0.911303,0.918826,0.85017,0.999544
cnn-du,DU,56900,392.613,410.035,443.59,144926.61,0.911265,0.918783,0.850097,0.999545
cnn-du,DU,57000,391.628,404.668,416.684,145546.29,0.911193,0.91873,0.850004,0.999546
cnn-du,DU,57100,392.049,406.603,429.401,145645.09,0.911261,0.918781,0.850092,0.999547
cnn-du,DU,57200,393.035,407.882,440.022,145533.98,0.911241,0.918759,0.850053,0.999547
cnn-du,DU,57300,393.139,407.018,421.693,145749.86,0.911222,0.918742,0.850024,0.999548
cnn-du,DU,57400,391.87,403.8,408.251,146477.24,0.911185,0.918697,0.849947,0.999549
cnn-du,DU,57500,390.413,403.156,408.751,147279.76,0.911235,0.918755,0.850044,0.99955
cnn-du,DU,57600,391.923,406.292,433.257,146967.48,0.911198,0.918721,0.849985,0.99955
cnn-du,DU,57700,392.292,407.059,413.251,147084.24,0.911127,0.918675,0.849908,0.999551
cnn-du,DU,57800,391.667,407.545,410.518,147574.17,0.911125,0.918663,0.849886,0.999552
cnn-du,DU,57900,390.973,404.127,407.424,148091.96,0.911088,0.918629,0.849827,0.999553
cnn-du,DU,58000,392.301,404.702,460.689,147845.67,0.911034,0.918581,0.849745,0.999554
cnn-du,DU,58100,391.885,404.203,440.94,148257.94,0.91105,0.918591,0.849786,0.99952
cnn-du,DU,58200,389.755,404.151,406.943,149324.46,0.911082,0.918628,0.849849,0.999521
cnn-du,DU,58300,391.659,403.691,408.494,148854.05,0.911029,0.918568,0.849769,0.999488
cnn-du,DU,58400,391.191,404.528,427.837,149287.78,0.910976,0.918512,0.849674,0.999488
cnn-du,DU,58500,391.846,401.03,405.388,149293.35,0.911009,0.918544,0.849728,0.999489
cnn-du,DU,58600,391.421,407.243,435.635,149710.99,0.911058,0.918588,0.849802,0.99949
cnn-du,DU,58700,393.273,422.126,480.219,149260.36,0.911073,0.918585,0.849797,0.999491
cnn-du,DU,58800,391.223,406.186,425.028,150297.93,0.911037,0.918552,0.849739,0.999492
cnn-du,DU,58900,392.679,409.142,469.147,149995.15,0.911087,0.918611,0.849839,0.999493
cnn-du,DU,59000,390.815,402.862,465.991,150966.55,0.911153,0.918671,0.849941,0.999494
cnn-du,DU,59100,394.301,408.66,477.822,149885.4,0.911151,0.918659,0.84992,0.999494
cnn-du,DU,59200,394.575,448.364,476.549,150034.98,0.911047,0.918574,0.849774,0.999495
cnn-du,DU,59300,395.389,449.969,477.444,149978.92,0.910961,0.918483,0.849619,0.999496
cnn-du,DU,59400,392.651,426.111,471.194,151279.45,0.910976,0.918498,0.849644,0.999497
cnn-du,DU,59500,391.768,407.373,472.367,151875.64,0.910958,0.918477,0.849607,0.999498
cnn-du,DU,59600,392.679,405.484,465.646,151777.94,0.910973,0.918492,0.849632,0.999499
cnn-du,DU,59700,391.919,405.376,454.078,152327.39,0.910888,0.918425,0.849516,0.999499
cnn-du,DU,59800,396.182,467.698,482.129,150940.89,0.910936,0.918458,0.849572,0.9995
cnn-du,DU,59900,395.806,466.548,483.442,151336.59,0.910935,0.918429,0.849522,0.999501
cnn-du,DU,60000,394.909,453.334,472.926,151933.65,0.910967,0.918458,0.849571,0.999502
cnn-du,DU,60100,393.678,433.895,476.56,152662.75,0.910982,0.91847,0.849591,0.999502
cnn-du,DU,60200,392.077,401.941,464.655,153541.3,0.910914,0.918417,0.8495,0.999503
cnn-du,DU,60300,400.11,472.179,479.318,150708.59,0.910912,0.918406,0.84948,0.999504
cnn-du,DU,60400,397.347,455.111,472.08,152008.3,0.910894,0.918393,0.849457,0.999505
cnn-du,DU,60500,395.573,471.666,474.563,152942.75,0.910975,0.918453,0.84956,0.999506
cnn-du,DU,60600,401.834,471.503,480.763,150808.4,0.910957,0.918438,0.849533,0.999507
cnn-du,DU,60700,400.231,472.52,484.6,151662.29,0.910988,0.918464,0.849577,0.999507
cnn-du,DU,60800,399.586,470.586,475.842,152157.63,0.911003,0.918471,0.849589,0.999508
cnn-du,DU,60900,397.597,468.626,480.64,153170.29,0.910969,0.918432,0.849521,0.999509
cnn-du,DU,61000,397.856,463.667,476.361,153321.72,0.910902,0.918373,0.849419,0.99951
cnn-du,DU,61100,402.817,473.054,480.228,151681.7,0.910917,0.918385,0.84944,0.99951
cnn-du,DU,61200,401.689,473.322,475.117,152356.85,0.91085,0.918316,0.849322,0.999511
cnn-du,DU,61300,400.308,466.749,475.361,153132.23,0.910848,0.918322,0.849331,0.999512
cnn-du,DU,61400,398.774,468.717,477.574,153972.11,0.910798,0.918274,0.849249,0.999513
cnn-du,DU,61500,405.904,471.549,476.463,151513.66,0.910732,0.918226,0.849165,0.999514
cnn-du,DU,61600,402.406,469.218,471.475,153079.07,0.910747,0.918245,0.849198,0.999514
cnn-du,DU,61700,413.718,481.945,485.113,149135.46,0.910778,0.918269,0.849238,0.999515
cnn-du,DU,61800,409.648,483.301,507.053,150861.25,0.910793,0.918281,0.849258,0.999516
cnn-du,DU,61900,405.423,478.059,484.05,152680.09,0.910808,0.918279,0.849254,0.999517
cnn-du,DU,62000,412.288,474.038,483.205,150380.46,0.910855,0.918325,0.849333,0.999517
cnn-du,DU,62100,409.907,472.566,479.032,151497.71,0.91087,0.918335,0.849349,0.999518
cnn-du,DU,62200,418.791,479.34,489.565,148522.82,0.910884,0.918333,0.849345,0.999519
cnn-du,DU,62300,417.265,474.803,496.7,149305.67,0.910931,0.918381,0.849427,0.99952
cnn-du,DU,62400,433.096,482.284,487.083,144078.93,0.910881,0.918327,0.849334,0.99952
cnn-du,DU,62500,419.664,479.001,484.884,148928.84,0.910832,0.918281,0.849254,0.999521
cnn-du,DU,62600,425.441,481.23,485.998,147141.28,0.910863,0.91829,0.849269,0.999522
cnn-du,DU,62700,421.96,479.17,484.788,148592.14,0.910877,0.918297,0.849281,0.999523
cnn-du,DU,62800,424.547,480.764,487.795,147922.34,0.910844,0.918271,0.849236,0.999523
cnn-du,DU,62900,431.127,483.25,499.833,145896.75,0.910843,0.918277,0.849245,0.999524
cnn-du,DU,63000,434.744,484.176,489.232,144912.77,0.91073,0.918177,0.849074,0.999525
cnn-du,DU,63100,428.254,483.861,488.492,147342.59,0.910824,0.918268,0.849229,0.999526
cnn-du,DU,63200,439.291,488.825,490.659,143868.06,0.910807,0.918253,0.849203,0.999526
cnn-du,DU,63300,430.23,482.146,488.235,147130.72,0.910774,0.918211,0.849131,0.999527
