model,dataset,instances,mean_ms,p95_ms,p99_ms,throughput_inst_per_s,acc,f1,precision,recall
transformer-du,DU,9200,131.918,195.2,196.456,69740.51,0.951957,0.953891,0.916784,0.994129
transformer-du,DU,9300,133.66,196.057,196.951,69579.77,0.95172,0.953754,0.91665,0.993989
transformer-du,DU,9400,132.962,196.063,199.289,70696.64,0.951915,0.954018,0.917254,0.993853
transformer-du,DU,9500,135.576,196.013,197.791,70071.43,0.951789,0.953877,0.916941,0.993914
transformer-du,DU,9600,138.779,197.068,197.907,69174.86,0.951458,0.953512,0.916571,0.993555
transformer-du,DU,9700,137.434,196.317,198.17,70579.24,0.951546,0.953539,0.916746,0.993409
transformer-du,DU,9800,140.711,196.184,200.031,69646.1,0.951531,0.953518,0.916651,0.993475
transformer-du,DU,9900,141.136,196.347,197.413,70145.32,0.951111,0.953073,0.915782,0.993531
transformer-du,DU,10000,142.157,195.899,197.091,70344.57,0.9511,0.953183,0.915915,0.993613
transformer-du,DU,10100,145.087,197.105,198.807,69613.39,0.951089,0.953211,0.915908,0.993681
transformer-du,DU,10200,152.064,196.888,198.904,67076.95,0.951176,0.953301,0.916021,0.993744
transformer-du,DU,10300,152.939,197.123,198.334,67347.0,0.951359,0.953538,0.916399,0.993814
transformer-du,DU,10400,150.832,196.727,197.87,68950.75,0.950962,0.953211,0.915903,0.993688
transformer-du,DU,10500,157.263,197.282,200.25,66767.31,0.951143,0.953368,0.916143,0.993746
transformer-du,DU,10600,153.856,196.892,197.686,68895.78,0.951415,0.953641,0.916595,0.993809
transformer-du,DU,10700,153.892,197.254,199.015,69529.44,0.951589,0.953816,0.916867,0.993868
transformer-du,DU,10800,160.755,197.651,199.395,67182.86,0.951667,0.953871,0.917077,0.99374
transformer-du,DU,10900,168.693,197.644,198.028,64614.33,0.95156,0.953773,0.917003,0.993615
transformer-du,DU,11000,170.435,199.079,199.918,64540.57,0.951,0.953273,0.916181,0.993495
transformer-du,DU,11100,176.494,198.706,202.377,62891.67,0.951081,0.953306,0.916198,0.993547
transformer-du,DU,11200,174.277,198.786,202.742,64265.55,0.951071,0.95337,0.916258,0.993615
transformer-du,DU,11300,176.209,199.603,202.067,64128.46,0.950796,0.953096,0.915856,0.993493
transformer-du,DU,11400,176.276,198.362,200.71,64671.3,0.950877,0.953201,0.915997,0.993554
transformer-du,DU,11500,187.264,199.783,232.578,61410.65,0.950522,0.952823,0.91526,0.993602
transformer-du,DU,11600,187.202,200.792,285.387,61965.29,0.950517,0.952781,0.915284,0.993481
transformer-du,DU,11700,189.859,287.763,289.693,61624.61,0.950342,0.952606,0.91506,0.993365
transformer-du,DU,11800,190.187,265.757,289.602,62044.33,0.950678,0.952958,0.915657,0.993428
transformer-du,DU,11900,190.046,283.257,290.776,62616.3,0.950672,0.953006,0.915692,0.99349
transformer-du,DU,12000,189.59,201.845,267.679,63294.58,0.950667,0.953046,0.915854,0.993386
transformer-du,DU,12100,188.664,235.279,266.492,64135.26,0.950579,0.95298,0.915684,0.993443
transformer-du,DU,12200,193.729,285.28,288.813,62974.46,0.950492,0.952857,0.915554,0.993328
transformer-du,DU,12300,194.653,289.279,292.101,63189.39,0.950325,0.952742,0.915292,0.993387
transformer-du,DU,12400,196.426,283.916,290.753,63128.01,0.950484,0.9529,0.915537,0.993442
transformer-du,DU,12500,199.52,289.691,291.225,62650.4,0.95024,0.952628,0.914996,0.993487
