model,dataset,instances,mean_ms,p95_ms,p99_ms,throughput_inst_per_s,acc,f1,precision,recall
cnn-cu,CU,17800,106.284,113.527,117.26,167475.08,0.95927,0.95907,0.954918,0.963257
cnn-cu,CU,17900,106.698,114.898,116.543,167763.11,0.959218,0.959035,0.954855,0.963251
cnn-cu,CU,18000,107.45,114.001,121.671,167520.31,0.959111,0.958933,0.954778,0.963125
cnn-cu,CU,18100,107.579,114.306,119.259,168247.79,0.959171,0.958947,0.954862,0.963066
cnn-cu,CU,18200,107.934,117.698,120.694,168620.9,0.959176,0.958966,0.954905,0.963062
cnn-cu,CU,18300,109.265,116.073,122.294,167482.84,0.959071,0.95888,0.954844,0.962951
cnn-cu,CU,18400,109.812,116.341,123.297,167559.52,0.959022,0.958865,0.954906,0.962857
cnn-cu,CU,18500,110.973,119.961,129.068,166706.79,0.959081,0.958959,0.955076,0.962874
cnn-cu,CU,18600,110.746,119.559,125.666,167951.55,0.959194,0.959112,0.955355,0.962899
cnn-cu,CU,18700,111.298,119.324,122.633,168017.86,0.959358,0.959306,0.955622,0.963019
cnn-cu,CU,18800,112.428,121.975,128.416,167217.91,0.959362,0.959288,0.955723,0.96288
cnn-cu,CU,18900,112.968,120.04,123.411,167304.07,0.959524,0.959432,0.955833,0.963058
cnn-cu,CU,19000,111.988,119.16,123.234,169661.48,0.959579,0.959494,0.955763,0.963253
cnn-cu,CU,19100,113.461,122.25,127.813,168340.25,0.959476,0.9594,0.95579,0.963037
cnn-cu,CU,19200,113.422,118.622,123.643,169279.35,0.959479,0.959395,0.955703,0.963114
cnn-cu,CU,19300,114.585,121.095,125.206,168433.64,0.959378,0.959273,0.9555,0.963075
cnn-cu,CU,19400,115.363,124.415,128.469,168164.85,0.95933,0.959231,0.95543,0.963063
cnn-cu,CU,19500,116.609,126.253,144.883,167225.46,0.959385,0.959297,0.955467,0.963158
cnn-cu,CU,19600,115.468,123.933,125.564,169743.71,0.95949,0.959399,0.95549,0.963339
cnn-cu,CU,19700,116.829,123.161,128.699,168623.16,0.959492,0.959389,0.955596,0.963213
cnn-cu,CU,19800,116.643,125.807,127.544,169748.58,0.959545,0.959425,0.9556,0.963279
cnn-cu,CU,19900,118.255,126.635,131.697,168280.46,0.959397,0.959245,0.955102,0.963425
cnn-cu,CU,20000,118.618,127.747,133.12,168608.02,0.95935,0.959222,0.955054,0.963426
