model,dataset,instances,mean_ms,p95_ms,p99_ms,throughput,acc,f1,precision,recall
autoencoder-du,DU,10600,118.902,125.057,127.642,89149.0,0.90066,0.910146,0.844364,0.987044
autoencoder-du,DU,10700,118.465,125.184,126.857,90322.19,0.900935,0.910443,0.844911,0.986994
autoencoder-du,DU,10800,122.648,132.874,138.03,88057.2,0.900463,0.909929,0.844085,0.986914
autoencoder-du,DU,10900,119.902,124.92,126.745,90907.46,0.900459,0.909921,0.844116,0.986854
autoencoder-du,DU,11000,121.836,129.781,131.887,90285.6,0.900636,0.910078,0.844556,0.986621
autoencoder-du,DU,11100,122.352,128.674,133.218,90721.97,0.90045,0.90973,0.843892,0.986709
autoencoder-du,DU,11200,127.271,134.492,138.452,88001.39,0.900089,0.909356,0.843299,0.986641
autoencoder-du,DU,11300,127.231,133.642,140.202,88814.91,0.899912,0.909222,0.843234,0.986416
autoencoder-du,DU,11400,129.462,136.855,140.739,88056.99,0.899649,0.908859,0.842541,0.98651
autoencoder-du,DU,11500,129.632,136.411,143.001,88712.97,0.899304,0.90856,0.841944,0.986623
autoencoder-du,DU,11600,130.567,140.151,146.008,88843.4,0.899224,0.90845,0.8418,0.986562
autoencoder-du,DU,11700,131.947,139.053,143.399,88671.7,0.898376,0.907694,0.840426,0.986667
autoencoder-du,DU,11800,133.671,139.793,141.811,88276.65,0.898305,0.907607,0.840559,0.986278
autoencoder-du,DU,11900,132.609,138.021,141.973,89737.64,0.898487,0.907758,0.840736,0.986392
autoencoder-du,DU,12000,137.059,143.339,147.762,87553.47,0.898583,0.90774,0.840635,0.986489
autoencoder-du,DU,12100,139.502,147.363,149.54,86737.01,0.898678,0.907861,0.840757,0.986606
autoencoder-du,DU,12200,136.665,143.354,148.041,89269.59,0.898525,0.907846,0.84064,0.986731
autoencoder-du,DU,12300,138.912,145.825,149.44,88545.3,0.897967,0.907319,0.839781,0.986669
autoencoder-du,DU,12400,139.896,149.279,155.242,88637.11,0.898145,0.907466,0.840185,0.986461
autoencoder-du,DU,12500,143.077,149.554,152.325,87365.3,0.89824,0.907477,0.840135,0.986557
autoencoder-du,DU,12600,144.353,151.108,154.267,87286.08,0.897381,0.906663,0.838899,0.986336
autoencoder-du,DU,12700,145.651,151.406,155.694,87194.63,0.897244,0.906512,0.83868,0.986282
autoencoder-du,DU,12800,145.718,151.517,155.091,87841.07,0.897344,0.906663,0.838854,0.986399
