model,dataset,instances,mean_ms,p95_ms,p99_ms,throughput_inst_per_s,acc,f1,precision,recall
lstm-du,DU,22600,141.009,147.789,155.004,160273.11,0.926062,0.930879,0.87571,0.993466
lstm-du,DU,22700,141.781,148.342,154.7,160106.08,0.925991,0.930762,0.875485,0.993489
lstm-du,DU,22800,141.564,148.742,151.657,161057.94,0.925921,0.930691,0.875473,0.993343
lstm-du,DU,22900,145.432,151.59,154.593,157461.87,0.925983,0.930723,0.875577,0.993283
lstm-du,DU,23000,143.864,151.647,153.668,159873.42,0.926087,0.930804,0.875699,0.993311
lstm-du,DU,23100,146.775,156.113,158.551,157383.34,0.926147,0.93092,0.875943,0.99326
lstm-du,DU,23200,144.885,152.291,159.656,160126.6,0.926121,0.930882,0.875854,0.993287
lstm-du,DU,23300,145.987,153.906,155.664,159602.76,0.926094,0.93086,0.875793,0.993316
lstm-du,DU,23400,145.364,153.378,157.704,160975.47,0.926068,0.930833,0.875724,0.993344
lstm-du,DU,23500,146.26,152.793,154.587,160673.13,0.925872,0.930658,0.875459,0.993287
lstm-du,DU,23600,146.496,152.016,159.053,161096.81,0.925932,0.930701,0.875513,0.993315
lstm-du,DU,23700,148.141,156.35,159.152,159982.43,0.925865,0.930616,0.875344,0.99334
lstm-du,DU,23800,148.183,155.379,167.327,160611.84,0.925798,0.930587,0.875268,0.993371
lstm-du,DU,23900,148.838,155.863,161.03,160577.32,0.925732,0.930537,0.875156,0.993399
lstm-du,DU,24000,149.346,156.879,163.908,160700.7,0.925708,0.930495,0.875064,0.993424
lstm-du,DU,24100,150.355,157.616,168.455,160287.76,0.925768,0.930532,0.87511,0.99345
lstm-du,DU,24200,151.156,160.132,163.653,160099.48,0.925785,0.930538,0.8751,0.993476
lstm-du,DU,24300,151.468,159.885,163.461,160429.95,0.925638,0.930385,0.87481,0.9935
lstm-du,DU,24400,151.046,157.793,161.199,161539.78,0.925574,0.930277,0.874603,0.993521
lstm-du,DU,24500,151.908,158.438,165.455,161282.19,0.925551,0.930259,0.874551,0.993548
lstm-du,DU,24600,152.125,159.685,163.56,161708.63,0.925528,0.930279,0.874562,0.993578
lstm-du,DU,24700,154.039,162.29,166.154,160348.49,0.925628,0.930382,0.874724,0.993605
lstm-du,DU,24800,153.599,161.61,173.53,161459.02,0.925685,0.930461,0.874902,0.993554
lstm-du,DU,24900,153.733,158.833,160.672,161968.92,0.925622,0.930397,0.874832,0.993499
lstm-du,DU,25000,154.942,164.216,170.34,161350.72,0.92592,0.930652,0.875264,0.993524
lstm-du,DU,25100,156.679,164.161,169.279,160200.46,0.925936,0.93073,0.875499,0.993398
lstm-du,DU,25200,157.438,166.527,171.342,160062.73,0.926111,0.930858,0.875769,0.993343
lstm-du,DU,25300,157.255,165.041,167.6,160884.89,0.925968,0.930745,0.875609,0.993292
lstm-du,DU,25400,157.611,166.352,170.988,161156.54,0.925906,0.930666,0.875451,0.993316
lstm-du,DU,25500,158.52,168.019,173.063,160863.11,0.925961,0.930711,0.875509,0.993341
lstm-du,DU,25600,158.288,167.443,173.625,161730.8,0.925937,0.930692,0.875456,0.993367
lstm-du,DU,25700,158.518,165.486,170.414,162126.74,0.925914,0.930653,0.875368,0.993391
lstm-du,DU,25800,160.748,170.915,190.465,160500.15,0.925775,0.930523,0.875119,0.993415
lstm-du,DU,25900,160.973,167.743,200.506,160896.62,0.925753,0.93048,0.875025,0.993438
lstm-du,DU,26000,164.51,176.691,180.253,158045.18,0.925615,0.930316,0.874721,0.993459
lstm-du,DU,26100,162.791,173.933,182.504,160328.35,0.925517,0.930223,0.874595,0.993407
lstm-du,DU,26200,162.119,171.067,181.284,161609.35,0.925573,0.930337,0.874832,0.993363
lstm-du,DU,26300,164.42,176.866,183.705,159956.11,0.925513,0.930262,0.874682,0.993386
lstm-du,DU,26400,169.983,178.62,194.156,155309.23,0.925682,0.930435,0.874967,0.993413
lstm-du,DU,26500,164.321,173.244,175.571,161269.71,0.925736,0.930484,0.875033,0.993438
lstm-du,DU,26600,171.345,183.013,195.227,155242.0,0.925789,0.930576,0.875174,0.993467
lstm-du,DU,26700,166.845,179.156,205.508,160029.19,0.925843,0.930638,0.875321,0.993419
lstm-du,DU,26800,167.015,174.28,176.732,160464.48,0.925858,0.930663,0.875345,0.993444
lstm-du,DU,26900,167.772,176.883,183.284,160336.53,0.925985,0.930779,0.875531,0.993469
lstm-du,DU,27000,166.975,176.314,177.566,161701.07,0.925926,0.930729,0.875481,0.99342
lstm-du,DU,27100,168.117,178.776,180.51,161197.03,0.92583,0.93068,0.875373,0.993447
lstm-du,DU,27200,168.856,177.582,188.937,161084.12,0.925846,0.930713,0.875412,0.993473
lstm-du,DU,27300,169.579,177.21,181.749,160986.68,0.925824,0.930696,0.875362,0.993497
lstm-du,DU,27400,169.725,179.196,181.417,161437.91,0.925693,0.930559,0.87516,0.993446
lstm-du,DU,27500,175.144,193.195,212.656,157013.88,0.925782,0.930585,0.875192,0.993465
lstm-du,DU,27600,178.5,189.972,217.707,154621.42,0.925761,0.930554,0.875175,0.993415
lstm-du,DU,27700,174.761,185.625,214.72,158501.89,0.925776,0.930573,0.875191,0.993439
lstm-du,DU,27800,181.311,191.652,203.456,153327.92,0.925755,0.930514,0.875071,0.993458
lstm-du,DU,27900,175.374,186.673,194.585,159088.95,0.925771,0.930538,0.875095,0.993483
lstm-du,DU,28000,183.598,195.264,202.97,152507.36,0.925893,0.930688,0.875448,0.993369
lstm-du,DU,28100,177.461,187.146,189.382,158344.42,0.925801,0.930613,0.875297,0.993393
lstm-du,DU,28200,178.456,188.139,192.369,158022.43,0.925922,0.93072,0.875468,0.993416
lstm-du,DU,28300,178.277,187.052,189.905,158741.63,0.926007,0.930777,0.875552,0.993437
lstm-du,DU,28400,178.998,186.314,223.3,158661.33,0.925951,0.93072,0.875542,0.99332
lstm-du,DU,28500,179.515,189.646,202.22,158761.02,0.925895,0.930659,0.875417,0.993342
lstm-du,DU,28600,180.398,191.31,194.585,158538.64,0.925839,0.930602,0.875354,0.993295
lstm-du,DU,28700,182.185,192.007,194.013,157531.82,0.925854,0.930621,0.875422,0.993249
lstm-du,DU,28800,181.981,192.755,200.434,158257.9,0.925868,0.930603,0.875375,0.993269
lstm-du,DU,28900,180.861,192.353,198.703,159791.45,0.925882,0.930635,0.875411,0.993295
lstm-du,DU,29000,182.396,194.31,198.301,158994.44,0.925828,0.930584,0.875357,0.993249
lstm-du,DU,29100,183.6,192.897,197.735,158496.77,0.925773,0.930542,0.875265,0.993272
lstm-du,DU,29200,186.768,197.537,210.472,156343.29,0.925719,0.930519,0.875256,0.99323
lstm-du,DU,29300,190.943,202.112,208.624,153448.69,0.925802,0.930601,0.875383,0.993254
