model,dataset,instances,mean_ms,p95_ms,p99_ms,throughput_inst_per_s,acc,f1,precision,recall
cnn-cu,CU,26400,180.355,190.133,192.813,146378.17,0.959053,0.959206,0.954344,0.964118
cnn-cu,CU,26500,185.109,198.887,220.752,143158.88,0.95917,0.959302,0.95442,0.964234
cnn-cu,CU,26600,181.784,193.469,200.946,146327.17,0.959211,0.959337,0.954437,0.964288
cnn-cu,CU,26700,178.566,186.321,189.191,149524.4,0.959251,0.959351,0.954502,0.964251
cnn-cu,CU,26800,184.105,195.086,217.699,145569.03,0.959067,0.959166,0.9543,0.964083
cnn-cu,CU,26900,180.494,191.421,196.98,149035.14,0.958959,0.95905,0.954096,0.964057
cnn-cu,CU,27000,187.876,196.493,203.509,143711.73,0.958889,0.958986,0.954051,0.963973
cnn-cu,CU,27100,188.337,199.655,201.841,143891.03,0.958782,0.95889,0.95394,0.963892
cnn-cu,CU,27200,189.195,199.032,204.741,143766.66,0.958787,0.958891,0.953889,0.963946
cnn-cu,CU,27300,189.046,199.605,205.828,144409.17,0.958828,0.958951,0.953865,0.964092
cnn-cu,CU,27400,189.995,198.135,200.882,144214.33,0.95865,0.958784,0.953615,0.964009
cnn-cu,CU,27500,191.564,201.691,210.791,143555.39,0.958655,0.958788,0.953706,0.963924
cnn-cu,CU,27600,191.861,206.933,213.256,143854.05,0.958587,0.958729,0.953736,0.963775
cnn-cu,CU,27700,192.836,202.179,219.699,143645.31,0.95852,0.958653,0.953677,0.963681
cnn-cu,CU,27800,194.284,204.447,208.695,143089.64,0.958309,0.958413,0.953316,0.963564
cnn-cu,CU,27900,192.883,206.058,209.589,144646.93,0.95828,0.95836,0.953109,0.963669
cnn-cu,CU,28000,194.143,205.49,212.68,144223.37,0.95825,0.958335,0.953137,0.963589
cnn-cu,CU,28100,195.555,209.257,216.488,143693.93,0.958114,0.958225,0.952983,0.963526
cnn-cu,CU,28200,196.166,205.329,226.025,143755.54,0.958156,0.958268,0.953011,0.963585
cnn-cu,CU,28300,195.472,204.59,211.158,144778.01,0.958198,0.958317,0.953045,0.963648
cnn-cu,CU,28400,196.907,207.476,229.629,144230.29,0.958275,0.958387,0.953133,0.963701
cnn-cu,CU,28500,196.018,204.839,209.703,145394.85,0.958281,0.958376,0.953137,0.963672
cnn-cu,CU,28600,199.727,209.131,224.914,143195.75,0.958427,0.958532,0.953313,0.96381
cnn-cu,CU,28700,199.931,212.222,240.095,143549.28,0.958328,0.958432,0.953131,0.963791
cnn-cu,CU,28800,200.7,212.162,228.99,143498.11,0.958403,0.958495,0.953211,0.963838
cnn-cu,CU,28900,201.457,212.652,234.536,143454.94,0.958408,0.958517,0.953254,0.96384
cnn-cu,CU,29000,200.724,210.867,213.073,144476.73,0.958448,0.958535,0.95332,0.963809
cnn-cu,CU,29100,201.06,209.007,212.469,144732.68,0.958454,0.958538,0.953404,0.963727
cnn-cu,CU,29200,201.631,212.664,217.851,144819.0,0.958459,0.958537,0.95342,0.963709
cnn-cu,CU,29300,202.692,211.034,219.092,144554.3,0.958464,0.958556,0.953458,0.963709
cnn-cu,CU,29400,203.622,214.654,221.228,144385.15,0.958503,0.958602,0.953554,0.963703
cnn-cu,CU,29500,204.527,214.095,220.234,144235.26,0.958542,0.958648,0.953714,0.963633
cnn-cu,CU,29600,204.999,214.869,216.845,144391.18,0.958446,0.958569,0.953495,0.963698
cnn-cu,CU,29700,205.827,214.35,217.341,144295.88,0.958552,0.958668,0.953641,0.963748
cnn-cu,CU,29800,206.945,218.005,228.743,143999.36,0.958557,0.958672,0.953725,0.963671
cnn-cu,CU,29900,207.751,222.432,253.334,143922.39,0.958629,0.958752,0.953758,0.963797
cnn-cu,CU,30000,206.449,216.506,225.832,145314.14,0.958567,0.958695,0.953656,0.963787
cnn-cu,CU,30100,207.592,216.449,232.315,144995.81,0.958638,0.958795,0.953839,0.963803
cnn-cu,CU,30200,209.247,221.09,226.49,144327.19,0.958742,0.9589,0.953991,0.963859
cnn-cu,CU,30300,209.486,220.054,231.605,144640.01,0.95868,0.958846,0.953891,0.963851
cnn-cu,CU,30400,211.686,223.387,234.311,143608.88,0.958586,0.958758,0.953852,0.963714
cnn-cu,CU,30500,211.26,222.593,227.669,144371.87,0.958557,0.958717,0.953857,0.963627
cnn-cu,CU,30600,212.472,221.408,248.871,144018.94,0.958627,0.958778,0.953933,0.963673
cnn-cu,CU,30700,211.784,219.98,256.934,144958.7,0.95873,0.958905,0.954108,0.96375
cnn-cu,CU,30800,212.055,221.995,231.274,145245.61,0.958766,0.958953,0.954203,0.96375
cnn-cu,CU,30900,213.903,223.167,230.151,144458.12,0.958673,0.958856,0.953968,0.963793
cnn-cu,CU,31000,213.913,225.316,233.909,144918.83,0.95871,0.958916,0.954017,0.963866
cnn-cu,CU,31100,215.587,226.796,230.608,144257.15,0.95865,0.958869,0.953866,0.963925
cnn-cu,CU,31200,215.628,227.651,235.04,144693.63,0.958718,0.958936,0.953949,0.963977
cnn-cu,CU,31300,215.466,227.02,234.721,145266.88,0.95869,0.958933,0.953994,0.963923
cnn-cu,CU,31400,215.689,228.865,233.369,145579.75,0.958694,0.958921,0.954056,0.963835
cnn-cu,CU,31500,217.889,227.586,247.325,144569.2,0.958698,0.958927,0.954137,0.963764
cnn-cu,CU,31600,221.126,234.093,257.096,142905.2,0.958797,0.959031,0.954227,0.963884
cnn-cu,CU,31700,219.407,231.633,258.06,144480.65,0.958738,0.958961,0.954171,0.963799
cnn-cu,CU,31800,218.815,233.168,252.673,145328.14,0.958648,0.958864,0.953999,0.963778
cnn-cu,CU,31900,220.754,237.828,249.112,144504.66,0.958621,0.958835,0.953956,0.963764
cnn-cu,CU,32000,220.338,232.092,241.949,145231.51,0.958719,0.958915,0.954019,0.963861
cnn-cu,CU,32100,221.494,232.923,251.501,144924.97,0.958723,0.958913,0.954032,0.963845
cnn-cu,CU,32200,222.905,237.365,260.93,144456.42,0.958727,0.958919,0.954053,0.963835
cnn-cu,CU,32300,223.606,239.139,274.09,144450.69,0.958731,0.958907,0.954113,0.96375
cnn-cu,CU,32400,223.855,237.207,263.142,144736.28,0.958796,0.958972,0.954134,0.96386
cnn-cu,CU,32500,224.547,237.94,263.961,144735.89,0.958862,0.959037,0.954155,0.963969
cnn-cu,CU,32600,224.491,234.246,246.151,145217.28,0.958896,0.959056,0.954217,0.963946
cnn-cu,CU,32700,225.396,236.294,249.119,145077.94,0.958838,0.959011,0.95413,0.963942
cnn-cu,CU,32800,227.518,240.651,251.022,144164.62,0.958872,0.959068,0.954233,0.963952
cnn-cu,CU,32900,227.851,240.199,247.632,144392.57,0.958875,0.959076,0.954313,0.963886
cnn-cu,CU,33000,227.946,238.723,249.8,144771.42,0.958909,0.959115,0.954338,0.963939
cnn-cu,CU,33100,228.58,238.279,246.528,144806.83,0.958882,0.959074,0.954225,0.963973
cnn-cu,CU,33200,231.013,243.095,276.515,143714.88,0.958946,0.959166,0.954334,0.964047
cnn-cu,CU,33300,230.142,241.893,261.045,144693.38,0.958949,0.95919,0.954432,0.963996
cnn-cu,CU,33400,234.351,255.99,299.04,142521.24,0.958892,0.959158,0.954416,0.963946
cnn-cu,CU,33500,235.134,261.012,291.994,142471.97,0.958806,0.959087,0.954334,0.963888
cnn-cu,CU,33600,232.797,247.04,286.615,144331.49,0.958661,0.958945,0.954179,0.96376
cnn-cu,CU,33700,233.856,248.048,295.244,144105.79,0.958694,0.958979,0.954199,0.963808
cnn-cu,CU,33800,234.563,249.79,276.596,144097.81,0.958639,0.958923,0.95399,0.963908
cnn-cu,CU,33900,237.718,286.194,297.508,142606.05,0.958673,0.95895,0.954002,0.963949
cnn-cu,CU,34000,238.245,270.09,315.055,142710.26,0.958647,0.958927,0.954078,0.963826
cnn-cu,CU,34100,238.068,267.591,303.925,143236.3,0.95868,0.958968,0.954106,0.96388
cnn-cu,CU,34200,237.879,276.666,289.132,143770.49,0.958713,0.959004,0.954128,0.963929
cnn-cu,CU,34300,235.758,248.955,266.314,145487.98,0.958746,0.959039,0.954205,0.963922
cnn-cu,CU,34400,239.537,255.277,295.667,143610.26,0.958837,0.959132,0.954339,0.963973
cnn-cu,CU,34500,241.567,274.097,310.266,142817.36,0.958899,0.959208,0.954431,0.964034
cnn-cu,CU,34600,241.781,278.519,287.843,143104.62,0.958873,0.959176,0.954385,0.964016
cnn-cu,CU,34700,240.788,259.0,280.19,144110.17,0.958847,0.959144,0.954338,0.963998
cnn-cu,CU,34800,242.389,269.943,280.502,143571.12,0.958908,0.959206,0.95436,0.964101
cnn-cu,CU,34900,242.638,278.5,298.9,143835.69,0.958968,0.959274,0.954497,0.9641
cnn-cu,CU,35000,242.989,268.524,304.367,144039.56,0.958943,0.959235,0.954497,0.964021
cnn-cu,CU,35100,247.505,300.317,325.145,141815.05,0.959003,0.959292,0.954566,0.964064
cnn-cu,CU,35200,244.99,268.887,283.479,143679.1,0.958949,0.959244,0.954533,0.964002
cnn-cu,CU,35300,246.169,279.876,290.183,143397.22,0.959037,0.95932,0.954594,0.964094
cnn-cu,CU,35400,249.353,287.761,295.082,141967.65,0.959124,0.959396,0.954655,0.964185
cnn-cu,CU,35500,245.671,259.976,314.807,144502.2,0.959155,0.959422,0.954667,0.964225
cnn-cu,CU,35600,251.067,287.03,307.922,141794.91,0.959185,0.959439,0.954669,0.964258
cnn-cu,CU,35700,248.03,265.948,316.987,143934.14,0.95916,0.959408,0.954624,0.96424
cnn-cu,CU,35800,253.277,289.588,312.915,141347.06,0.959134,0.95938,0.954583,0.964226
cnn-cu,CU,35900,248.025,263.03,280.0,144743.38,0.959136,0.959398,0.954668,0.964174
cnn-cu,CU,36000,252.677,286.095,307.146,142474.44,0.959083,0.959349,0.954633,0.964111
cnn-cu,CU,36100,250.727,271.068,308.917,143981.13,0.959058,0.95934,0.954665,0.964061
cnn-cu,CU,36200,256.525,304.525,322.885,141117.06,0.959116,0.959403,0.954741,0.96411
cnn-cu,CU,36300,252.202,283.033,295.877,143932.53,0.959091,0.959394,0.954773,0.96406
cnn-cu,CU,36400,254.924,295.28,308.063,142787.63,0.959121,0.959393,0.954755,0.964076
cnn-cu,CU,36500,255.12,286.65,322.541,143069.89,0.959178,0.959458,0.954782,0.96418
cnn-cu,CU,36600,258.108,294.461,311.634,141800.85,0.959126,0.959401,0.954737,0.96411
cnn-cu,CU,36700,258.249,283.857,324.893,142111.16,0.959155,0.959446,0.954822,0.964115
cnn-cu,CU,36800,257.413,290.934,316.456,142961.03,0.959049,0.959346,0.954685,0.964053
cnn-cu,CU,36900,260.932,294.777,319.019,141416.36,0.95897,0.959238,0.95456,0.963961
cnn-cu,CU,37000,257.118,282.783,313.551,143902.91,0.959081,0.959332,0.954665,0.964045
cnn-cu,CU,37100,262.825,296.856,322.807,141158.3,0.958949,0.959194,0.954616,0.963816
cnn-cu,CU,37200,258.296,273.874,314.484,144021.01,0.958871,0.959124,0.954584,0.963707
cnn-cu,CU,37300,261.788,301.024,316.376,142481.85,0.958874,0.959124,0.954647,0.963643
cnn-cu,CU,37400,263.379,295.919,304.586,142000.51,0.958904,0.959143,0.954651,0.963677
cnn-cu,CU,37500,263.636,307.81,320.878,142241.76,0.958853,0.959088,0.954608,0.96361
cnn-cu,CU,37600,265.02,293.793,345.267,141875.92,0.958883,0.959126,0.954684,0.96361
cnn-cu,CU,37700,263.021,286.783,299.401,143334.81,0.958806,0.959036,0.954529,0.963585
cnn-cu,CU,37800,263.215,279.042,329.649,143608.73,0.95873,0.958947,0.954426,0.963511
cnn-cu,CU,37900,266.367,292.548,319.526,142285.02,0.958734,0.958944,0.954334,0.963598
cnn-cu,CU,38000,267.368,307.994,329.47,142126.15,0.958763,0.958961,0.954387,0.963579
cnn-cu,CU,38100,267.31,299.533,325.632,142531.36,0.958661,0.958855,0.954293,0.963461
cnn-cu,CU,38200,269.161,318.186,337.981,141922.63,0.958665,0.958853,0.954204,0.963549
cnn-cu,CU,38300,270.689,314.694,328.331,141490.81,0.958695,0.958877,0.954214,0.963586
cnn-cu,CU,38400,267.698,296.039,326.058,143445.43,0.958724,0.958903,0.954226,0.963625
cnn-cu,CU,38500,271.263,326.266,332.104,141928.9,0.958753,0.958939,0.954251,0.963673
cnn-cu,CU,38600,270.916,319.487,334.175,142479.62,0.958627,0.958801,0.954149,0.963499
cnn-cu,CU,38700,272.213,305.627,322.418,142168.27,0.958579,0.958761,0.954171,0.963396
cnn-cu,CU,38800,272.602,317.043,327.848,142331.93,0.958479,0.958672,0.953998,0.963393
cnn-cu,CU,38900,271.01,302.517,324.914,143537.19,0.958483,0.95868,0.954018,0.963388
cnn-cu,CU,39000,274.134,316.07,343.541,142266.33,0.958385,0.958596,0.953899,0.963339
cnn-cu,CU,39100,275.647,328.901,347.476,141848.19,0.958363,0.958575,0.953818,0.96338
cnn-cu,CU,39200,274.604,314.054,336.37,142751.11,0.958418,0.95865,0.953859,0.96349
cnn-cu,CU,39300,274.888,321.601,349.257,142967.1,0.958422,0.958654,0.953827,0.96353
