model,dataset,instances,mean_ms,p95_ms,p99_ms,throughput_inst_per_s,acc,f1,precision,recall
lstm-du,DU,17900,139.672,147.668,149.641,128157.6,0.994525,0.994513,0.996522,0.992512
lstm-du,DU,18000,140.185,148.418,154.423,128401.81,0.994556,0.994543,0.996541,0.992554
lstm-du,DU,18100,140.672,147.435,150.306,128668.16,0.99453,0.994519,0.99656,0.992485
lstm-du,DU,18200,141.681,148.926,153.657,128457.39,0.99456,0.994541,0.996574,0.992516
lstm-du,DU,18300,142.83,152.752,154.98,128124.02,0.99459,0.994569,0.996592,0.992554
lstm-du,DU,18400,142.937,152.692,160.405,128727.86,0.994457,0.994442,0.996505,0.992387
lstm-du,DU,18500,144.477,153.435,162.758,128048.3,0.994432,0.994415,0.996522,0.992316
lstm-du,DU,18600,145.087,154.088,158.929,128199.21,0.994355,0.994337,0.996541,0.992144
lstm-du,DU,18700,144.737,152.185,156.615,129199.72,0.994332,0.994316,0.996453,0.992188
lstm-du,DU,18800,147.055,154.729,161.003,127843.27,0.994362,0.994348,0.996473,0.992232
lstm-du,DU,18900,146.714,153.795,158.904,128822.22,0.994339,0.994324,0.996491,0.992166
lstm-du,DU,19000,146.36,156.854,158.565,129817.15,0.994316,0.994304,0.996406,0.992211
lstm-du,DU,19100,149.305,158.275,160.585,127925.7,0.994346,0.994333,0.996424,0.99225
lstm-du,DU,19200,149.551,160.155,164.192,128384.24,0.994323,0.994311,0.996339,0.992291
lstm-du,DU,19300,149.65,158.069,158.546,128967.81,0.994301,0.994293,0.996361,0.992234
lstm-du,DU,19400,149.862,158.64,160.22,129452.11,0.99433,0.994326,0.996382,0.992278
lstm-du,DU,19500,151.06,158.565,161.593,129087.59,0.994359,0.994352,0.996398,0.992314
lstm-du,DU,19600,151.446,161.191,169.602,129418.76,0.994337,0.994334,0.996419,0.992258
lstm-du,DU,19700,152.424,160.9,167.862,129244.58,0.994264,0.994262,0.996235,0.992297
lstm-du,DU,19800,153.886,161.856,163.134,128666.75,0.994293,0.994284,0.996249,0.992326
lstm-du,DU,19900,154.116,162.826,165.34,129123.49,0.994221,0.994205,0.996263,0.992155
lstm-du,DU,20000,152.047,161.045,165.294,131538.02,0.99425,0.99423,0.996279,0.992188
