model,dataset,instances,mean_ms,p95_ms,p99_ms,throughput_inst_per_s,acc,f1,precision,recall
transformer-du,DU,11600,181.019,200.64,269.863,64081.72,0.950517,0.952781,0.915284,0.993481
transformer-du,DU,11700,186.764,199.477,260.854,62645.8,0.950342,0.952606,0.91506,0.993365
transformer-du,DU,11800,188.165,205.169,286.746,62710.83,0.950678,0.952958,0.915657,0.993428
transformer-du,DU,11900,185.081,201.504,269.149,64296.09,0.950672,0.953006,0.915692,0.99349
transformer-du,DU,12000,185.735,204.911,287.671,64608.19,0.950667,0.953046,0.915854,0.993386
transformer-du,DU,12100,192.566,208.005,286.496,62835.66,0.950579,0.95298,0.915684,0.993443
transformer-du,DU,12200,184.473,200.184,254.034,66134.4,0.950492,0.952857,0.915554,0.993328
transformer-du,DU,12300,188.432,201.635,267.06,65275.6,0.950325,0.952742,0.915292,0.993387
transformer-du,DU,12400,194.519,285.355,288.321,63747.0,0.950484,0.9529,0.915537,0.993442
transformer-du,DU,12500,193.348,259.521,266.204,64650.14,0.95024,0.952628,0.914996,0.993487
transformer-du,DU,12600,191.182,283.533,291.032,65905.64,0.950397,0.952798,0.915264,0.993542
transformer-du,DU,12700,197.303,264.104,285.816,64368.02,0.950394,0.952752,0.915142,0.993587
transformer-du,DU,12800,195.889,289.032,292.669,65343.19,0.950547,0.952842,0.915271,0.99363
transformer-du,DU,12900,204.29,290.338,291.745,63145.66,0.950543,0.952908,0.915473,0.993535
transformer-du,DU,13000,208.83,291.289,295.617,62251.56,0.950538,0.95289,0.9154,0.993583
transformer-du,DU,13100,200.058,288.834,292.085,65481.01,0.950305,0.952651,0.915048,0.993477
transformer-du,DU,13200,211.776,289.699,291.269,62330.01,0.950227,0.952532,0.91492,0.993369
transformer-du,DU,13300,212.103,291.158,293.827,62705.43,0.950451,0.952723,0.915357,0.993269
transformer-du,DU,13400,219.859,292.283,294.424,60948.19,0.950522,0.952801,0.915458,0.99332
transformer-du,DU,13500,215.613,291.829,296.165,62612.14,0.95037,0.95261,0.91507,0.993362
transformer-du,DU,13600,216.515,292.109,294.247,62813.19,0.950368,0.952615,0.915037,0.993411
transformer-du,DU,13700,213.43,290.92,297.52,64189.67,0.950365,0.95264,0.915039,0.993463
transformer-du,DU,13800,224.217,291.947,294.749,61547.65,0.950217,0.952513,0.914764,0.993511
transformer-du,DU,13900,229.173,295.307,297.164,60652.88,0.950288,0.952584,0.914854,0.993559
transformer-du,DU,14000,231.389,292.463,296.001,60504.11,0.950357,0.952628,0.915019,0.99346
transformer-du,DU,14100,237.181,294.022,297.728,59448.38,0.950567,0.952838,0.915367,0.993509
transformer-du,DU,14200,240.031,294.975,299.411,59159.06,0.950493,0.952784,0.915462,0.993278
transformer-du,DU,14300,233.951,292.719,297.688,61123.87,0.950699,0.952934,0.915704,0.993319
transformer-du,DU,14400,253.879,297.671,300.959,56719.82,0.950833,0.953094,0.915956,0.993371
transformer-du,DU,14500,242.759,295.692,297.564,59730.02,0.951034,0.953302,0.916298,0.99342
transformer-du,DU,14600,245.829,296.387,298.28,59390.78,0.95089,0.953183,0.916154,0.993332
transformer-du,DU,14700,255.688,296.379,297.946,57492.05,0.950748,0.953005,0.916022,0.993101
transformer-du,DU,14800,261.329,298.597,301.566,56633.54,0.950811,0.95305,0.916067,0.993145
transformer-du,DU,14900,271.255,298.106,302.424,54929.86,0.950805,0.953034,0.916,0.993189
transformer-du,DU,15000,281.724,300.256,301.779,53243.64,0.950733,0.952963,0.915831,0.993233
transformer-du,DU,15100,280.468,300.519,301.759,53838.55,0.950795,0.953037,0.915928,0.993281
transformer-du,DU,15200,282.358,301.015,302.091,53832.36,0.950658,0.952943,0.915712,0.993329
transformer-du,DU,15300,285.245,301.016,303.362,53638.15,0.950654,0.952921,0.915748,0.993241
transformer-du,DU,15400,285.041,300.265,301.464,54027.36,0.95039,0.952647,0.915317,0.993151
transformer-du,DU,15500,286.521,302.159,303.759,54097.22,0.950452,0.952692,0.915365,0.993193
transformer-du,DU,15600,289.402,301.916,386.69,53904.31,0.950513,0.952742,0.915422,0.993235
transformer-du,DU,15700,291.782,300.858,384.969,53807.28,0.950255,0.952451,0.914854,0.99327
transformer-du,DU,15800,286.622,301.01,303.426,55124.87,0.950253,0.952467,0.914953,0.99319
transformer-du,DU,15900,289.43,300.827,304.736,54935.48,0.950314,0.952507,0.914992,0.99323
transformer-du,DU,16000,289.885,301.99,348.047,55194.35,0.950438,0.952643,0.915204,0.993275
transformer-du,DU,16100,296.668,384.51,393.661,54269.37,0.950373,0.952573,0.915042,0.993315
transformer-du,DU,16200,291.83,303.531,387.476,55511.84,0.950123,0.952364,0.914723,0.993237
transformer-du,DU,16300,300.313,384.822,392.658,54276.69,0.949877,0.952135,0.914266,0.993277
transformer-du,DU,16400,292.038,304.523,385.674,56157.07,0.949756,0.952004,0.914094,0.993194
transformer-du,DU,16500,294.103,310.785,390.333,56102.78,0.949697,0.952006,0.91426,0.993004
transformer-du,DU,16600,294.021,309.209,391.787,56458.61,0.949759,0.952063,0.91433,0.993046
transformer-du,DU,16700,291.115,303.353,352.057,57365.74,0.95,0.952321,0.914765,0.993093
transformer-du,DU,16800,291.634,304.695,388.347,57606.55,0.950119,0.952408,0.914894,0.99313
transformer-du,DU,16900,292.977,306.101,392.494,57683.71,0.950414,0.952693,0.915383,0.993173
transformer-du,DU,17000,298.524,386.09,392.154,56946.81,0.950412,0.952691,0.915444,0.993097
transformer-du,DU,17100,298.527,387.873,392.479,57281.28,0.950175,0.952434,0.914942,0.993131
transformer-du,DU,17200,303.319,390.16,396.448,56706.02,0.950349,0.952561,0.915146,0.993166
transformer-du,DU,17300,296.42,353.96,390.914,58363.04,0.950231,0.952476,0.914952,0.993208
transformer-du,DU,17400,313.774,395.054,397.362,55453.92,0.95023,0.952475,0.914918,0.993247
transformer-du,DU,17500,305.532,392.383,394.932,57277.23,0.950171,0.952428,0.914798,0.993286
transformer-du,DU,17600,303.919,389.117,393.586,57910.16,0.950227,0.952464,0.914929,0.99321
transformer-du,DU,17700,321.828,394.51,395.301,54998.25,0.950169,0.952437,0.914845,0.993252
transformer-du,DU,17800,308.836,390.522,393.992,57635.73,0.950337,0.952641,0.915183,0.993297
transformer-du,DU,17900,332.078,397.521,400.349,53903.06,0.950335,0.952609,0.91519,0.993219
transformer-du,DU,18000,324.269,395.662,399.062,55509.5,0.950111,0.952386,0.914748,0.993254
transformer-du,DU,18100,318.564,395.425,400.36,56817.51,0.95,0.952255,0.914572,0.993177
transformer-du,DU,18200,321.008,395.749,399.822,56696.32,0.949945,0.952226,0.914576,0.993109
transformer-du,DU,18300,311.049,393.928,400.814,58833.24,0.949891,0.952192,0.91448,0.993148
transformer-du,DU,18400,328.251,397.689,401.573,56054.63,0.949783,0.952055,0.914383,0.992965
transformer-du,DU,18500,324.528,397.52,399.411,57005.92,0.94973,0.951978,0.914393,0.992784
transformer-du,DU,18600,319.321,395.088,398.687,58248.62,0.949624,0.951907,0.914227,0.992827
transformer-du,DU,18700,329.422,396.603,398.93,56766.04,0.949626,0.951924,0.914224,0.992867
transformer-du,DU,18800,474.727,396.206,616.79,39601.68,0.949574,0.951883,0.914116,0.992906
transformer-du,DU,18900,1743.1,399.464,45907.705,10842.75,0.94963,0.951948,0.914203,0.992945
transformer-du,DU,19000,7943.17,396.893,298114.56,2391.99,0.949789,0.95208,0.914415,0.99298
