model,dataset,instances,mean_ms,p95_ms,p99_ms,throughput_inst_per_s,acc,f1,precision,recall
transformer-du,DU,14800,285.388,299.544,302.228,51859.2,0.996351,0.996371,0.999057,0.993701
transformer-du,DU,14900,291.215,301.128,312.456,51165.02,0.996376,0.996395,0.999063,0.993742
transformer-du,DU,15000,287.111,300.506,302.483,52244.52,0.996333,0.99635,0.999068,0.993646
transformer-du,DU,15100,289.75,299.772,304.836,52113.88,0.996225,0.996237,0.999073,0.993418
transformer-du,DU,15200,292.097,301.307,385.082,52037.46,0.99625,0.99626,0.999079,0.993457
transformer-du,DU,15300,290.308,298.572,300.697,52702.64,0.996275,0.996285,0.999085,0.993501
transformer-du,DU,15400,291.583,301.626,389.243,52815.23,0.996299,0.996309,0.999091,0.993542
transformer-du,DU,15500,291.013,299.504,301.377,53262.15,0.996323,0.996329,0.999096,0.993578
transformer-du,DU,15600,290.422,301.631,308.307,53714.98,0.996282,0.996287,0.999101,0.993489
transformer-du,DU,15700,295.895,355.267,387.909,53059.36,0.996178,0.996178,0.999106,0.993268
transformer-du,DU,15800,290.5,300.182,301.595,54389.02,0.996203,0.996202,0.999111,0.993309
transformer-du,DU,15900,293.476,305.364,386.489,54178.25,0.996226,0.996228,0.999117,0.993356
transformer-du,DU,16000,290.605,300.778,310.268,55057.57,0.99625,0.996253,0.999123,0.993399
transformer-du,DU,16100,296.544,380.997,388.922,54292.13,0.996273,0.996274,0.999128,0.993437
transformer-du,DU,16200,291.137,301.994,354.325,55643.93,0.996296,0.996298,0.999134,0.993479
transformer-du,DU,16300,302.226,388.863,395.254,53933.11,0.996319,0.996316,0.999138,0.99351
transformer-du,DU,16400,300.998,389.148,394.17,54485.36,0.996341,0.996336,0.999143,0.993545
transformer-du,DU,16500,297.083,387.088,391.786,55540.1,0.996303,0.996299,0.999148,0.993466
transformer-du,DU,16600,296.949,384.21,387.471,55901.89,0.996325,0.996319,0.999153,0.993502
transformer-du,DU,16700,295.08,354.857,389.603,56594.75,0.996347,0.996339,0.999157,0.993536
transformer-du,DU,16800,294.933,358.435,386.213,56962.13,0.99631,0.996297,0.999161,0.993449
transformer-du,DU,16900,302.523,386.058,395.693,55863.44,0.996331,0.99632,0.999167,0.99349
transformer-du,DU,17000,302.782,388.551,393.314,56145.97,0.996353,0.99634,0.999171,0.993525
transformer-du,DU,17100,310.685,389.651,392.875,55039.65,0.996316,0.996302,0.999176,0.993444
transformer-du,DU,17200,303.434,386.22,389.957,56684.54,0.996279,0.996262,0.99918,0.993361
transformer-du,DU,17300,303.845,386.53,390.466,56936.9,0.996301,0.996285,0.999185,0.993401
transformer-du,DU,17400,309.575,390.734,398.323,56206.16,0.996322,0.996306,0.99919,0.993439
transformer-du,DU,17500,310.641,390.793,398.931,56335.14,0.996286,0.996268,0.999194,0.99336
transformer-du,DU,17600,311.976,390.518,396.971,56414.56,0.996307,0.99629,0.999199,0.993398
transformer-du,DU,17700,315.126,393.943,396.821,56167.93,0.996328,0.996316,0.999204,0.993445
transformer-du,DU,17800,330.368,395.573,397.698,53879.36,0.996348,0.996339,0.999209,0.993485
transformer-du,DU,17900,328.038,394.493,398.596,54566.91,0.996313,0.996301,0.999213,0.993406
transformer-du,DU,18000,345.132,398.188,403.367,52153.97,0.996333,0.996322,0.999218,0.993443
transformer-du,DU,18100,352.777,399.241,432.638,51307.14,0.996354,0.996343,0.999222,0.99348
transformer-du,DU,18200,340.975,397.706,400.375,53376.35,0.996374,0.996358,0.999225,0.993506
transformer-du,DU,18300,340.303,395.65,399.516,53775.62,0.996393,0.996376,0.999229,0.99354
transformer-du,DU,18400,353.03,400.561,407.667,52120.28,0.996304,0.996291,0.999234,0.993366
transformer-du,DU,18500,345.518,395.417,398.004,53542.86,0.99627,0.996255,0.999238,0.99329
transformer-du,DU,18600,346.847,396.596,399.729,53625.94,0.996237,0.996222,0.999242,0.99322
transformer-du,DU,18700,344.733,396.291,399.914,54244.91,0.996257,0.996243,0.999246,0.993258
transformer-du,DU,18800,343.82,399.026,401.951,54679.8,0.996277,0.996264,0.999251,0.993296
transformer-du,DU,18900,348.677,399.249,402.28,54204.9,0.996243,0.99623,0.999254,0.993225
transformer-du,DU,19000,356.113,399.776,402.091,53353.82,0.996263,0.996252,0.999259,0.993264
transformer-du,DU,19100,346.382,400.066,444.143,55141.37,0.996283,0.996271,0.999263,0.993298
transformer-du,DU,19200,376.873,402.666,446.058,50945.49,0.996302,0.996291,0.999266,0.993333
transformer-du,DU,19300,360.946,397.392,435.277,53470.54,0.996269,0.996261,0.999271,0.99327
transformer-du,DU,19400,362.111,430.741,454.592,53574.69,0.996289,0.996283,0.999275,0.993308
transformer-du,DU,19500,365.613,399.783,446.123,53335.04,0.996308,0.9963,0.999278,0.993339
transformer-du,DU,19600,372.796,435.325,454.602,52575.74,0.996276,0.99627,0.999283,0.993276
transformer-du,DU,19700,369.271,441.669,453.039,53348.36,0.996294,0.996289,0.999286,0.99331
transformer-du,DU,19800,380.409,404.527,454.432,52049.29,0.996313,0.996304,0.999289,0.993336
transformer-du,DU,19900,379.18,434.503,453.885,52481.7,0.996231,0.996217,0.999292,0.993161
transformer-du,DU,20000,369.425,437.134,455.674,54138.14,0.99625,0.996233,0.999295,0.99319
