dlBytes,dlMcs,dlBler,ulBytes,ulMcs,ulBler,ri,phr,pcmax,rsrq,sinr,rsrp,rssi,cqi,pucchSnr,puschSnr,ue_id,timestamp,cellid,in_sync,idx
0.024894921,0.777777778,0.061863221,0.913587917,0.7,0.077757,0,0.65,0.962962963,1,1,0.878787879,0.284848485,1,0.441860465,0.465116279,0.058823529,0.00057462,0,0,0
0.02490258,0.740740741,0.229276301,0.914225342,0.8,0.063452,0,0.65,0.962962963,1,1,0.878787879,0.266666667,1,0.465116279,0.476744186,0.058823529,0.000574838,0,0,1
0.024908436,0.62962963,0.07994383,0.914912821,0.8,0.051254,0,0.65,0.962962963,1,1,0.878787879,0.260606061,1,0.465116279,0.488372093,0.058823529,0.000575057,0,0,2
0.024914602,0.814814815,0.030971516,0.915537384,0.75,0.122783,0,0.625,0.962962963,1,1,0.878787879,0.266666667,1,0.441860465,0.488372093,0.058823529,0.000575275,0,0,3
0.024921551,0.666666667,0.12504483,0.91618692,0.8,0.047666,0,0.625,0.962962963,1,1,0.848484848,0.272727273,1,0.395348837,0.476744186,0.058823529,0.000575494,0,0,4
0.024927613,0.703703704,0.048444959,0.916838752,0.8,0.076462,0,0.65,0.962962963,1,1,0.878787879,0.306060606,1,0.395348837,0.453488372,0.058823529,0.000575712,0,0,5
0.024933613,0.814814815,0.1633973,0.917277121,0.4,0.204461,0,0.675,0.981481481,1,1,0.878787879,0.324242424,1,0.441860465,0.441860465,0.058823529,0.000575931,0,0,6
0.024938666,0.814814815,0.056973567,0.917566234,0.3,0.071291,0,0.675,0.981481481,1,1,0.878787879,0.324242424,1,0.441860465,0.441860465,0.058823529,0.000576149,0,0,7
0.024947697,0.740740741,0.148010042,0.917935999,0.65,0.028754,0,0.65,0.962962963,1,1,0.878787879,0.333333333,1,0.488372093,0.430232558,0.058823529,0.000576368,0,0,8
0.024956516,0.703703704,0.057342311,0.918328241,0.35,0.138359,0,0.675,0.981481481,1,1,0.878787879,0.333333333,1,0.441860465,0.441860465,0.058823529,0.000576587,0,0,9
0.024965455,0.777777778,0.169259834,0.91865,0.4,0.048243,0,0.675,0.981481481,1,1,0.878787879,0.333333333,1,0.395348837,0.441860465,0.058823529,0.000576805,0,0,10
0.024982219,0.740740741,0.065574913,0.919102382,0.6,0.114756,0,0.65,0.962962963,1,1,0.878787879,0.333333333,1,0.441860465,0.430232558,0.058823529,0.000577024,0,0,11
0.024994234,0.777777778,0.166219964,0.919598197,0.6,0.068274,0,0.65,0.962962963,1,1,0.878787879,0.324242424,1,0.372093023,0.441860465,0.058823529,0.000577242,0,0,12
0.025002543,0.777777778,0.057957559,0.920129412,0.65,0.153576,0,0.65,0.962962963,1,0.970588235,0.878787879,0.324242424,1,0.418604651,0.441860465,0.058823529,0.000577461,0,0,13
0.025015681,0.851851852,0.074728872,0.920669685,0.65,0.096927,0,0.65,0.962962963,1,1,0.878787879,0.324242424,1,0.395348837,0.441860465,0.058823529,0.000577679,0,0,14
0.025028938,0.851851852,0.085710389,0.921214962,0.65,0.052802,0,0.675,0.962962963,1,0.955882353,0.909090909,0.342424242,1,0.441860465,0.418604651,0.058823529,0.000577898,0,0,15
0.025054175,0.851851852,0.116161621,0.921730033,0.65,0.146138,0,0.675,0.962962963,1,0.955882353,0.909090909,0.354545455,1,0.441860465,0.418604651,0.058823529,0.000578116,0,0,16
0.025064413,0.777777778,0.119525784,0.922228501,0.6,0.115068,0,0.65,0.962962963,1,0.985294118,0.878787879,0.342424242,1,0.395348837,0.430232558,0.058823529,0.000578335,0,0,17
0.025076637,0.851851852,0.041676222,0.922724547,0.6,0.064629,0,0.65,0.962962963,1,0.970588235,0.878787879,0.342424242,1,0.465116279,0.441860465,0.058823529,0.000578553,0,0,18
0.025086808,0.851851852,0.124035581,0.923219434,0.6,0.056222,0,0.65,0.962962963,1,0.970588235,0.878787879,0.342424242,1,0.395348837,0.430232558,0.058823529,0.000578772,0,0,19
0.025098777,0.851851852,0.098406316,0.923736013,0.65,0.105554,0,0.65,0.962962963,1,0.941176471,0.878787879,0.324242424,1,0.348837209,0.441860465,0.058823529,0.00057899,0,0,20
