timestamp_iso,t_rel_s,phase,cpu_percent,rss_mb,gpu_util_percent,gpu_mem_used_mb
2026-06-02T07:21:07.813679+00:00,0.001,fetching,0.0,311.75390625,,
2026-06-02T07:21:09.814085+00:00,2.002,fetching,83.5,310.765625,,
2026-06-02T07:21:11.899130+00:00,4.087,fetching,91.9,309.765625,,
2026-06-02T07:21:13.975104+00:00,6.163,fetching,93.5,321.41796875,,
2026-06-02T07:21:16.032960+00:00,8.22,fetching,90.6,333.19921875,,
2026-06-02T07:21:18.130416+00:00,10.318,fetching,91.4,344.99609375,,
2026-06-02T07:21:20.130735+00:00,12.318,inferring,62.9,426.453125,,
2026-06-02T07:21:22.131046+00:00,14.319,inferring,55.0,426.453125,,
2026-06-02T07:21:24.132188+00:00,16.32,inferring,49.0,426.453125,,
2026-06-02T07:21:26.132977+00:00,18.32,inferring,63.5,426.453125,,
2026-06-02T07:21:28.133329+00:00,20.321,inferring,35.0,426.453125,,
2026-06-02T07:21:30.133713+00:00,22.321,inferring,26.5,426.453125,,
2026-06-02T07:21:32.134005+00:00,24.321,inferring,24.5,426.453125,,
2026-06-02T07:21:34.134332+00:00,26.322,inferring,27.0,426.453125,,
2026-06-02T07:21:36.134727+00:00,28.322,inferring,26.5,426.453125,,
2026-06-02T07:21:38.148556+00:00,30.336,inferring,24.5,427.26171875,,
2026-06-02T07:21:40.156846+00:00,32.344,inferring,27.7,429.07421875,,
