actual\predicted,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5
actual_0,15394,0,39,0,0,7
actual_1,0,229,14174,0,1037,0
actual_2,0,2,15438,0,0,0
actual_3,1890,4339,536,6686,481,1508
actual_4,0,0,2504,0,12936,0
actual_5,0,159,1013,0,38,14230
